fromNode	toNode	weight	direction	fromAltName	toAltName
ACTR10	ATG12	0.0332782593921062	undirected	ACTR10	ATG12
ACTR10	ATP5L	0.0254852951271729	undirected	ACTR10	ATP5L
ACTR10	GGT1	0.0218264023535643	undirected	ACTR10	GGT1
ACTR10	KIAA1468	0.0218663183232055	undirected	ACTR10	KIAA1468
AIDA	AKTIP	0.0283339405777447	undirected	AIDA	AKTIP
AIDA	BZW1	0.0237426755290033	undirected	AIDA	BZW1
AIDA	CSNK1A1	0.0205814288758087	undirected	AIDA	CSNK1A1
AIDA	DSCR3	0.0284079426173189	undirected	AIDA	DSCR3
AIDA	GNA13	0.0319224107670346	undirected	AIDA	GNA13
AIDA	GTF2E2	0.0302968942809257	undirected	AIDA	GTF2E2
AIDA	KCTD18	0.0272506297481284	undirected	AIDA	KCTD18
AIDA	MAML1	0.0423607888014743	undirected	AIDA	MAML1
AIDA	MAPK9	0.0342541263772538	undirected	AIDA	MAPK9
AIDA	MAT2B	0.0385360043394797	undirected	AIDA	MAT2B
AIDA	PDE6D	0.0534542244663104	undirected	AIDA	PDE6D
AIDA	PPP2CA	0.0633123122145466	undirected	AIDA	PPP2CA
AIDA	RAB1A	0.0224026300419571	undirected	AIDA	RAB1A
AIDA	RAB8A	0.028693484691101	undirected	AIDA	RAB8A
AIDA	RIC8A	0.0292642135695731	undirected	AIDA	RIC8A
AIDA	SEPT2	0.0268951188418973	undirected	AIDA	NA
AIDA	SLTM	0.0206643675446233	undirected	AIDA	SLTM
AIDA	TMCO3	0.0201163638450234	undirected	AIDA	TMCO3
AIDA	TMED2	0.025222958193054	undirected	AIDA	TMED2
AIDA	UBA3	0.0325497572356339	undirected	AIDA	UBA3
AIDA	WDR20	0.0368921559326238	undirected	AIDA	WDR20
AIDA	YPEL2	0.0259831191364002	undirected	AIDA	YPEL2
AKAP9	BBC3	0.0238161725581885	undirected	AKAP9	BBC3
AKAP9	CPTP	0.0305759159746649	undirected	AKAP9	NA
