fromNode	toNode	weight	direction	fromAltName	toAltName
ARL10	SMR3B	0.0224505740272177	undirected	ARL10	SMR3B
ART4	CA10	0.0334245631228663	undirected	ART4	CA10
ART4	CEMIP	0.0294335712555358	undirected	ART4	NA
ART4	CRISP1	0.153377487414149	undirected	ART4	CRISP1
ART4	EIF3B	0.0840108338070968	undirected	ART4	EIF3B
ART4	ERC2	0.0339123843697337	undirected	ART4	ERC2
ART4	FAM171B	0.0238547036560806	undirected	ART4	FAM171B
ART4	GCKR	0.110542798263679	undirected	ART4	GCKR
ART4	HHLA2	0.173059972184445	undirected	ART4	HHLA2
ART4	KIAA0895	0.074435442633339	undirected	ART4	KIAA0895
ART4	LOC100505622	0.0448499550748559	undirected	ART4	NA
ART4	LOC101928418	0.0256465066224664	undirected	ART4	NA
ART4	LOC102606466	0.0583666879264451	undirected	ART4	NA
ART4	MYF6	0.0300792951775547	undirected	ART4	MYF6
ART4	NXPH2	0.0844753459921723	undirected	ART4	NXPH2
ART4	OR8G1	0.0276430392421154	undirected	ART4	OR8G1
ART4	RNASE8	0.039831582709285	undirected	ART4	RNASE8
ART4	SMR3B	0.0489268831045784	undirected	ART4	SMR3B
ART4	SPEM1	0.0529294422959224	undirected	ART4	SPEM1
ART4	SYCP1	0.0482962128490119	undirected	ART4	SYCP1
ART4	TIGD4	0.0815877953305357	undirected	ART4	TIGD4
ART4	TMEM150C	0.0231262028093011	undirected	ART4	NA
ART4	ZMYND10	0.0286768471461059	undirected	ART4	ZMYND10
BPY2B	CEMIP	0.0304446137148818	undirected	BPY2B	NA
BPY2B	OR8G1	0.0289097950261743	undirected	BPY2B	OR8G1
BPY2B	SMR3B	0.0293885165384539	undirected	BPY2B	SMR3B
BPY2B	TIGD4	0.0298159400285593	undirected	BPY2B	TIGD4
CA10	CEMIP	0.0742610271458685	undirected	CA10	NA
CA10	CRISP1	0.0306574721560045	undirected	CA10	CRISP1
CA10	EIF3B	0.0543423866416005	undirected	CA10	EIF3B
CA10	FAM171B	0.0285512874383645	undirected	CA10	FAM171B
CA10	GCKR	0.0205179163777343	undirected	CA10	GCKR
CA10	HHLA2	0.0466159988432842	undirected	CA10	HHLA2
CA10	KIAA0895	0.0522156313304444	undirected	CA10	KIAA0895
CA10	LOC101928418	0.0204636761996841	undirected	CA10	NA
CA10	LOC101928907	0.0511739504274138	undirected	CA10	NA
CA10	LOC102606466	0.0247875924333856	undirected	CA10	NA
CA10	MYF6	0.0904814507838212	undirected	CA10	MYF6
CA10	NXPH2	0.0261570017209181	undirected	CA10	NXPH2
CA10	OR8G1	0.0712624170851668	undirected	CA10	OR8G1
CA10	PRLHR	0.0281186736763785	undirected	CA10	PRLHR
CA10	SMR3B	0.0805717268575962	undirected	CA10	SMR3B
CA10	SPEM1	0.0366082089280283	undirected	CA10	SPEM1
CA10	SYCP1	0.0331356080994999	undirected	CA10	SYCP1
CA10	TIGD4	0.0612459477215703	undirected	CA10	TIGD4
CA10	TMEM150C	0.0443485285594736	undirected	CA10	NA
CA10	WFDC11	0.0218230662068205	undirected	CA10	WFDC11
CEMIP	CRISP1	0.0273074277628063	undirected	NA	CRISP1
CEMIP	EIF3B	0.0399679646926743	undirected	NA	EIF3B
CEMIP	FAM171B	0.0384295551255881	undirected	NA	FAM171B
CEMIP	HHLA2	0.0428919886367418	undirected	NA	HHLA2
CEMIP	KIAA0895	0.0428358880590516	undirected	NA	KIAA0895
CEMIP	LOC101928418	0.0287738053206154	undirected	NA	NA
CEMIP	LOC101928907	0.0500764558950713	undirected	NA	NA
CEMIP	LOC102606466	0.0229990392562861	undirected	NA	NA
CEMIP	MYF6	0.0328028208751686	undirected	NA	MYF6
CEMIP	NXPH2	0.0215247072793603	undirected	NA	NXPH2
CEMIP	OR8G1	0.0858404363931089	undirected	NA	OR8G1
CEMIP	PRLHR	0.0355482490019959	undirected	NA	PRLHR
CEMIP	SMR3B	0.0462182695011111	undirected	NA	SMR3B
CEMIP	SNORD114.3	0.0217229229509577	undirected	NA	NA
CEMIP	SPEM1	0.0229231851489717	undirected	NA	SPEM1
CEMIP	SYCP1	0.0263730295002081	undirected	NA	SYCP1
CEMIP	TIGD4	0.0789844479833959	undirected	NA	TIGD4
CEMIP	TMEM150C	0.0651193397769321	undirected	NA	NA
CPA2	HHLA2	0.0211740556415362	undirected	CPA2	HHLA2
CPA2	LOC102606466	0.0205787572204938	undirected	CPA2	NA
CPA2	NXPH2	0.0357574592348068	undirected	CPA2	NXPH2
CRISP1	EIF3B	0.0858468816945253	undirected	CRISP1	EIF3B
CRISP1	ERC2	0.0319603187546919	undirected	CRISP1	ERC2
CRISP1	FAM171B	0.0229258450473291	undirected	CRISP1	FAM171B
CRISP1	GCKR	0.0910347972000176	undirected	CRISP1	GCKR
CRISP1	HHLA2	0.27370746499221	undirected	CRISP1	HHLA2
CRISP1	KIAA0895	0.0806532259083277	undirected	CRISP1	KIAA0895
CRISP1	LOC100505622	0.0420881252785994	undirected	CRISP1	NA
CRISP1	LOC101928418	0.0230475363078306	undirected	CRISP1	NA
CRISP1	LOC102606466	0.063973806720786	undirected	CRISP1	NA
CRISP1	MYF6	0.0267421342463877	undirected	CRISP1	MYF6
CRISP1	NXPH2	0.0848755781857174	undirected	CRISP1	NXPH2
