fromNode	toNode	weight	direction	fromAltName	toAltName
AAMDC	COX14	0.0223162436786341	undirected	NA	NA
AAMDC	EBNA1BP2	0.0254657895651078	undirected	NA	EBNA1BP2
AAMDC	EMG1	0.0243133275597606	undirected	NA	EMG1
AAMDC	EXOSC8	0.0200435224318652	undirected	NA	EXOSC8
AAMDC	METTL5	0.0204394661771803	undirected	NA	METTL5
AAMDC	MRPS21	0.0220841078434861	undirected	NA	MRPS21
AAMDC	MRPS22	0.0247355008799979	undirected	NA	MRPS22
AAMDC	NGDN	0.026741905576665	undirected	NA	NGDN
AAMDC	RARS	0.021811890964553	undirected	NA	RARS
AAMDC	RPS10	0.0227621423421084	undirected	NA	RPS10
ABCB7	ACOT2	0.0212101065248554	undirected	ABCB7	ACOT2
ABCB7	ANAPC10	0.0224715681461979	undirected	ABCB7	ANAPC10
ABCB7	ANAPC16	0.0261443361229126	undirected	ABCB7	NA
ABCB7	ANKS6	0.0207763389619017	undirected	ABCB7	ANKS6
ABCB7	ARL1	0.0270941081856443	undirected	ABCB7	ARL1
ABCB7	ATR	0.0252351348505704	undirected	ABCB7	ATR
ABCB7	BCDIN3D	0.0221655743818705	undirected	ABCB7	BCDIN3D
ABCB7	BEX4	0.0258577132091599	undirected	ABCB7	BEX4
ABCB7	BRIX1	0.051469254354232	undirected	ABCB7	NA
ABCB7	C12orf73	0.0243114882653593	undirected	ABCB7	C12orf73
ABCB7	C18orf21	0.0222828783062873	undirected	ABCB7	C18orf21
ABCB7	C6orf203	0.0262390828554864	undirected	ABCB7	C6orf203
ABCB7	CD28	0.0250603143971181	undirected	ABCB7	CD28
ABCB7	CMTR2	0.0203137306070943	undirected	ABCB7	NA
ABCB7	COPS4	0.025909741396995	undirected	ABCB7	COPS4
ABCB7	CRLS1	0.020588741055959	undirected	ABCB7	CRLS1
ABCB7	DAP3	0.0388212871827326	undirected	ABCB7	DAP3
ABCB7	DUSP12	0.0315912765736918	undirected	ABCB7	DUSP12
ABCB7	EBNA1BP2	0.0249389996519712	undirected	ABCB7	EBNA1BP2
ABCB7	EED	0.0303609157769043	undirected	ABCB7	EED
ABCB7	EFL1	0.0207731583238515	undirected	ABCB7	NA
ABCB7	EID3	0.0256766963409023	undirected	ABCB7	EID3
ABCB7	EIF2B1	0.0261598870751619	undirected	ABCB7	EIF2B1
ABCB7	EIF3D	0.0309881428104952	undirected	ABCB7	EIF3D
ABCB7	EMG1	0.0269084719937175	undirected	ABCB7	EMG1
ABCB7	EXOSC7	0.0277767607460279	undirected	ABCB7	EXOSC7
ABCB7	EXOSC8	0.0359369033236627	undirected	ABCB7	EXOSC8
ABCB7	FANCF	0.0297921472163665	undirected	ABCB7	FANCF
ABCB7	FDX1	0.0316922598818441	undirected	ABCB7	FDX1
ABCB7	FYTTD1	0.0357377631504399	undirected	ABCB7	FYTTD1
ABCB7	GAR1	0.0455983652576533	undirected	ABCB7	GAR1
ABCB7	GNL2	0.0274489882332816	undirected	ABCB7	GNL2
ABCB7	GOPC	0.0213976394029256	undirected	ABCB7	GOPC
ABCB7	GTF2E1	0.0208687713926855	undirected	ABCB7	GTF2E1
ABCB7	HIBCH	0.0206992268804589	undirected	ABCB7	HIBCH
ABCB7	HNRNPA1	0.0274230293071627	undirected	ABCB7	HNRNPA1
ABCB7	HSPA8	0.0332586528616174	undirected	ABCB7	HSPA8
ABCB7	IMMT	0.025594146839654	undirected	ABCB7	IMMT
ABCB7	JPT2	0.0284939920239493	undirected	ABCB7	NA
ABCB7	KAT14	0.0219676830330863	undirected	ABCB7	NA
ABCB7	LTV1	0.0263072018705387	undirected	ABCB7	LTV1
ABCB7	LYAR	0.0261750515197181	undirected	ABCB7	LYAR
ABCB7	MAGEF1	0.0212838916616034	undirected	ABCB7	MAGEF1
ABCB7	MAGEH1	0.0297023808203716	undirected	ABCB7	MAGEH1
ABCB7	MAIP1	0.0261396326998841	undirected	ABCB7	NA
ABCB7	MRPL18	0.0370006452412106	undirected	ABCB7	MRPL18
ABCB7	MRPL3	0.0417285730121033	undirected	ABCB7	MRPL3
ABCB7	MRPL46	0.0302403257189502	undirected	ABCB7	MRPL46
ABCB7	MRPS24	0.0248312528849171	undirected	ABCB7	MRPS24
ABCB7	MRPS35	0.0258476664445929	undirected	ABCB7	MRPS35
ABCB7	MSH2	0.0309011777951604	undirected	ABCB7	MSH2
ABCB7	MTERF3	0.0202252749015599	undirected	ABCB7	NA
ABCB7	NDUFB9	0.0252505592469151	undirected	ABCB7	NDUFB9
ABCB7	NGDN	0.02403178603723	undirected	ABCB7	NGDN
ABCB7	NOL8	0.0353013509970185	undirected	ABCB7	NOL8
ABCB7	NOL9	0.0201111255076099	undirected	ABCB7	NOL9
ABCB7	NUP62	0.0237673698344371	undirected	ABCB7	NUP62
ABCB7	P4HTM	0.0214272448223169	undirected	ABCB7	P4HTM
ABCB7	PBDC1	0.0242316134642432	undirected	ABCB7	NA
ABCB7	PCYOX1L	0.0242645308865572	undirected	ABCB7	PCYOX1L
ABCB7	PGRMC2	0.0352335409226785	undirected	ABCB7	PGRMC2
ABCB7	PIGP	0.0223289137569338	undirected	ABCB7	PIGP
ABCB7	POLA1	0.0229356174551427	undirected	ABCB7	POLA1
ABCB7	PRPF38A	0.0330035315654037	undirected	ABCB7	PRPF38A
ABCB7	PSMC2	0.0351251987052584	undirected	ABCB7	PSMC2
ABCB7	PSMD14	0.0344388582595004	undirected	ABCB7	PSMD14
ABCB7	PTRH2	0.0242053259500474	undirected	ABCB7	PTRH2
ABCB7	PUS1	0.0293727717706794	undirected	ABCB7	PUS1
ABCB7	PWP1	0.0314000613218948	undirected	ABCB7	PWP1
ABCB7	RAD51C	0.0210050405007638	undirected	ABCB7	RAD51C
ABCB7	RAN	0.0266463002642722	undirected	ABCB7	RAN
ABCB7	RARS	0.0229441949138588	undirected	ABCB7	RARS
ABCB7	RBFA	0.0304922664464679	undirected	ABCB7	NA
ABCB7	RBMX2	0.0284373077644986	undirected	ABCB7	RBMX2
ABCB7	RNF126	0.0221395833368015	undirected	ABCB7	RNF126
ABCB7	RNF220	0.033296159205937	undirected	ABCB7	RNF220
ABCB7	RNF7	0.0244001045395739	undirected	ABCB7	RNF7
ABCB7	RPAIN	0.0409002701354233	undirected	ABCB7	RPAIN
ABCB7	RPL41	0.0216207183375172	undirected	ABCB7	RPL41
ABCB7	RPS6	0.0319537620226544	undirected	ABCB7	RPS6
ABCB7	RTRAF	0.0251401915688081	undirected	ABCB7	NA
ABCB7	SAE1	0.0307881366004712	undirected	ABCB7	SAE1
ABCB7	SMC3	0.026135727637679	undirected	ABCB7	SMC3
ABCB7	SMIM7	0.0241760159302821	undirected	ABCB7	NA
ABCB7	SNHG1	0.0214012854165272	undirected	ABCB7	SNHG1
ABCB7	SNORD22	0.022494801530854	undirected	ABCB7	SNORD22
ABCB7	SOD1	0.0280222375301352	undirected	ABCB7	SOD1
ABCB7	SRSF3	0.021628053897641	undirected	ABCB7	NA
ABCB7	TCEAL4	0.0242245977277566	undirected	ABCB7	TCEAL4
ABCB7	TMCO1	0.0217362732299461	undirected	ABCB7	TMCO1
ABCB7	TMEM170A	0.0214826047028438	undirected	ABCB7	TMEM170A
ABCB7	TMEM42	0.0360571248327096	undirected	ABCB7	TMEM42
ABCB7	TNFRSF25	0.023065145963399	undirected	ABCB7	TNFRSF25
ABCB7	TRAF3IP3	0.0258984105600129	undirected	ABCB7	TRAF3IP3
ABCB7	TRIM41	0.0244735890853198	undirected	ABCB7	TRIM41
ABCB7	TRMT11	0.0295545819027242	undirected	ABCB7	TRMT11
ABCB7	TRMT6	0.0476521837329025	undirected	ABCB7	TRMT6
ABCB7	TRNAU1AP	0.0272949107324504	undirected	ABCB7	TRNAU1AP
ABCB7	TTC19	0.0208552919221211	undirected	ABCB7	TTC19
ABCB7	TYW3	0.0263175706779741	undirected	ABCB7	TYW3
ABCB7	UFSP2	0.0271742828427308	undirected	ABCB7	UFSP2
ABCB7	UMPS	0.0320984750237399	undirected	ABCB7	UMPS
ABCB7	UTP3	0.0260185204557423	undirected	ABCB7	UTP3
ABCB7	UTP6	0.028490591868518	undirected	ABCB7	UTP6
ABCB7	WDR70	0.0311561834260105	undirected	ABCB7	WDR70
ABCB7	ZHX3	0.026103575736068	undirected	ABCB7	ZHX3
ABCB7	ZNF567	0.029686205717099	undirected	ABCB7	ZNF567
