fromNode	toNode	weight	direction	fromAltName	toAltName
A4GALT	ADAMTS10	0.0533970672144053	undirected	A4GALT	ADAMTS10
A4GALT	C22orf24	0.0469859988096296	undirected	A4GALT	C22orf24
A4GALT	CDKN2B	0.0277292590975693	undirected	A4GALT	CDKN2B
A4GALT	CLGN	0.022119367891308	undirected	A4GALT	CLGN
A4GALT	DPCR1	0.0231089178933757	undirected	A4GALT	DPCR1
A4GALT	EN1	0.0201615785983207	undirected	A4GALT	EN1
A4GALT	FAM71F1	0.0320651989027644	undirected	A4GALT	FAM71F1
A4GALT	IL11	0.0326634295571337	undirected	A4GALT	IL11
A4GALT	LINC00917	0.0357425018994084	undirected	A4GALT	NA
A4GALT	MYH8	0.031576247237062	undirected	A4GALT	MYH8
A4GALT	NREP	0.0234240647747053	undirected	A4GALT	NA
A4GALT	NXPE1	0.0219517823649282	undirected	A4GALT	NA
A4GALT	PAX6	0.0403191081908666	undirected	A4GALT	PAX6
A4GALT	PEAK1	0.0216401396311202	undirected	A4GALT	NA
A4GALT	PLA2G2F	0.0207612464272122	undirected	A4GALT	PLA2G2F
A4GALT	PLEKHA6	0.0511861365071256	undirected	A4GALT	PLEKHA6
A4GALT	PRR18	0.0209717075658649	undirected	A4GALT	PRR18
A4GALT	RBBP8NL	0.0310853111236282	undirected	A4GALT	NA
A4GALT	RSPH4A	0.0240671969513752	undirected	A4GALT	NA
A4GALT	SEMA5A	0.0484468638689904	undirected	A4GALT	SEMA5A
A4GALT	SLC8A2	0.0361689552608525	undirected	A4GALT	SLC8A2
A4GALT	TNNT2	0.0333728675197942	undirected	A4GALT	TNNT2
A4GALT	WNT2B	0.0262065773799655	undirected	A4GALT	WNT2B
A4GALT	XAGE2	0.0623152082865885	undirected	A4GALT	NA
A4GALT	ZBTB46	0.0242236131667243	undirected	A4GALT	ZBTB46
A4GNT	SLC7A2	0.021944532828483	undirected	A4GNT	SLC7A2
ABCA13	CA13	0.197810580541807	undirected	ABCA13	CA13
ABCA13	IGSF1	0.353748054829181	undirected	ABCA13	IGSF1
ABCA13	MGAT4C	0.389224893754179	undirected	ABCA13	MGAT4C
ABCA13	MSR1	0.117715145470745	undirected	ABCA13	MSR1
ABCA13	PRRX2	0.295072962874917	undirected	ABCA13	PRRX2
ABCA13	SPAG1	0.321903839767783	undirected	ABCA13	SPAG1
ABCA13	TGM5	0.266699519228252	undirected	ABCA13	TGM5
ABCA13	TMPRSS11B	0.154727571084016	undirected	ABCA13	TMPRSS11B
ABCA13	XAGE1E	0.260340826554384	undirected	ABCA13	NA
ABCC11	MAPRE3	0.0548165971876255	undirected	ABCC11	MAPRE3
ACAP3	ARHGEF4	0.0254382062493858	undirected	ACAP3	ARHGEF4
ACAP3	CELA3B	0.0290435364338109	undirected	ACAP3	NA
ACAP3	GRM4	0.0215266348406492	undirected	ACAP3	GRM4
ACAP3	PITPNM3	0.021938778301598	undirected	ACAP3	PITPNM3
ACSM2A	C22orf24	0.0208567636440926	undirected	ACSM2A	C22orf24
ACSM2A	CFB	0.0204289531288745	undirected	ACSM2A	CFB
ACSM2A	PLA2G2F	0.0404505054367104	undirected	ACSM2A	PLA2G2F
ACSM2A	PLEKHA6	0.0297447316734298	undirected	ACSM2A	PLEKHA6
ACSM2A	S100A14	0.0345795241476857	undirected	ACSM2A	S100A14
ACSM2A	TTTY5	0.0200685945429694	undirected	ACSM2A	TTTY5
ACSM5	SDC4	0.0335021370183463	undirected	ACSM5	SDC4
ACTA2.AS1	FNDC5	0.0424584510212715	undirected	NA	FNDC5
ACVRL1	NODAL	0.0565392193981363	undirected	ACVRL1	NODAL
ADAM18	SULF1	0.0440377793836645	undirected	ADAM18	SULF1
ADAM18	THPO	0.031321890579002	undirected	ADAM18	THPO
ADAM2	ARHGEF25	0.21424921735689	undirected	ADAM2	NA
ADAM2	FAM9B	0.156842778183514	undirected	ADAM2	FAM9B
ADAM2	MOSPD2	0.157073988156377	undirected	ADAM2	MOSPD2
ADAMTS10	ANKRD13B	0.0219280839225485	undirected	ADAMTS10	ANKRD13B
ADAMTS10	APLNR	0.0275003263087051	undirected	ADAMTS10	APLNR
ADAMTS10	APOC4	0.0324027993313587	undirected	ADAMTS10	APOC4
ADAMTS10	C22orf24	0.0629910753813616	undirected	ADAMTS10	C22orf24
ADAMTS10	CACNB2	0.027765445555701	undirected	ADAMTS10	CACNB2
ADAMTS10	CDH4	0.0205467336834694	undirected	ADAMTS10	CDH4
ADAMTS10	CDKN2B	0.0571720982337166	undirected	ADAMTS10	CDKN2B
ADAMTS10	CDRT15	0.0211175316350251	undirected	ADAMTS10	CDRT15
ADAMTS10	CFB	0.0351078498659555	undirected	ADAMTS10	CFB
ADAMTS10	CLGN	0.0408490190434901	undirected	ADAMTS10	CLGN
ADAMTS10	DKK4	0.0216764392406632	undirected	ADAMTS10	DKK4
ADAMTS10	DMC1	0.0207219336515678	undirected	ADAMTS10	DMC1
ADAMTS10	EN1	0.0430844881452563	undirected	ADAMTS10	EN1
ADAMTS10	FAM71F1	0.0469743110544852	undirected	ADAMTS10	FAM71F1
ADAMTS10	FGF8	0.0221193900618957	undirected	ADAMTS10	FGF8
ADAMTS10	FLJ31356	0.0358172392651162	undirected	ADAMTS10	FLJ31356
ADAMTS10	FOXA1	0.0262032061747761	undirected	ADAMTS10	FOXA1
ADAMTS10	GCM2	0.0305050670986897	undirected	ADAMTS10	GCM2
ADAMTS10	GJC1	0.0283723523635045	undirected	ADAMTS10	GJC1
ADAMTS10	IL11	0.0778079287875568	undirected	ADAMTS10	IL11
ADAMTS10	JSRP1	0.0302977863676189	undirected	ADAMTS10	JSRP1
ADAMTS10	LOC100505912	0.0251161084162962	undirected	ADAMTS10	NA
ADAMTS10	LOC101928303	0.0326040169971183	undirected	ADAMTS10	NA
ADAMTS10	LSMEM2	0.0219408713201732	undirected	ADAMTS10	NA
ADAMTS10	MYH8	0.0294203805067841	undirected	ADAMTS10	MYH8
ADAMTS10	NRAV	0.0251141096605826	undirected	ADAMTS10	NA
ADAMTS10	NXPE1	0.0408161311795024	undirected	ADAMTS10	NA
ADAMTS10	PAX6	0.033557883099319	undirected	ADAMTS10	PAX6
ADAMTS10	PCSK4	0.0304054281476065	undirected	ADAMTS10	PCSK4
ADAMTS10	PEAK1	0.0411930374685	undirected	ADAMTS10	NA
ADAMTS10	PHLDA1	0.045608142748045	undirected	ADAMTS10	PHLDA1
ADAMTS10	PLA2G2F	0.0274773142568853	undirected	ADAMTS10	PLA2G2F
ADAMTS10	PLEKHA6	0.0770423399532817	undirected	ADAMTS10	PLEKHA6
ADAMTS10	RALYL	0.0307437825276811	undirected	ADAMTS10	RALYL
ADAMTS10	RBBP8NL	0.0557996448058118	undirected	ADAMTS10	NA
ADAMTS10	RGSL1	0.0286725560377804	undirected	ADAMTS10	RGSL1
ADAMTS10	RSPH4A	0.0550176238195093	undirected	ADAMTS10	NA
ADAMTS10	SCAMP5	0.0212376373414326	undirected	ADAMTS10	SCAMP5
ADAMTS10	SCD5	0.0216049599313877	undirected	ADAMTS10	SCD5
ADAMTS10	SCOC.AS1	0.0225858914342059	undirected	ADAMTS10	NA
ADAMTS10	SDK1	0.0342365958737197	undirected	ADAMTS10	SDK1
ADAMTS10	SEC14L3	0.0325492032383263	undirected	ADAMTS10	SEC14L3
ADAMTS10	SEMA5A	0.0622678140345937	undirected	ADAMTS10	SEMA5A
ADAMTS10	SLC23A3	0.0335297308780136	undirected	ADAMTS10	SLC23A3
ADAMTS10	SLC8A2	0.0575855832289794	undirected	ADAMTS10	SLC8A2
ADAMTS10	SOCS7	0.0257029934013545	undirected	ADAMTS10	SOCS7
ADAMTS10	SRGAP3	0.0290614981859253	undirected	ADAMTS10	SRGAP3
ADAMTS10	TCEAL7	0.0395130703849209	undirected	ADAMTS10	TCEAL7
ADAMTS10	THRSP	0.0257887936539899	undirected	ADAMTS10	THRSP
ADAMTS10	TNN	0.0288936566840191	undirected	ADAMTS10	TNN
ADAMTS10	TNNT2	0.0521897759902065	undirected	ADAMTS10	TNNT2
ADAMTS10	TNP1	0.0320596802449922	undirected	ADAMTS10	TNP1
ADAMTS10	TTTY5	0.0298025472817908	undirected	ADAMTS10	TTTY5
ADAMTS10	WNT2B	0.0584252014341637	undirected	ADAMTS10	WNT2B
ADAMTS10	XAGE2	0.0521885035758453	undirected	ADAMTS10	NA
ADAMTS15	TNFSF9	0.0241595676691918	undirected	ADAMTS15	TNFSF9
ADAMTS20	SALL1	0.313817718161374	undirected	ADAMTS20	SALL1
ADAMTS4	HEXA.AS1	0.0209945020838166	undirected	ADAMTS4	NA
ADAMTS4	PLA2G2F	0.0262333671524151	undirected	ADAMTS4	PLA2G2F
ADAMTS4	TTTY5	0.0272095843987629	undirected	ADAMTS4	TTTY5
ADCY10	LOC100506124	0.0201367044024823	undirected	ADCY10	NA
ADCY10	NODAL	0.0338289384350015	undirected	ADCY10	NODAL
ADCY10	SLC35F2	0.0203704817683401	undirected	ADCY10	SLC35F2
ADCY5	CRYBG2	0.0216878217231999	undirected	ADCY5	NA
ADGRG2	GM2A	0.027120934746912	undirected	NA	GM2A
ADGRV1	UPK1B	0.0238821387440719	undirected	NA	UPK1B
ADNP.AS1	TRPM1	0.0548380279943297	undirected	NA	TRPM1
ADORA3	PMP22	0.0236972873161574	undirected	ADORA3	PMP22
ADORA3	SIGLEC8	0.0446791116279512	undirected	ADORA3	SIGLEC8
ADPRHL1	AGTR2	0.45918372160486	undirected	ADPRHL1	AGTR2
ADPRHL1	KDR	0.563680397750173	undirected	ADPRHL1	KDR
ADPRHL1	MORN5	0.574483796211751	undirected	ADPRHL1	MORN5
ADPRHL1	ZNF485	0.464320599296374	undirected	ADPRHL1	ZNF485
ADRA2B	CRLF1	0.0283867276948017	undirected	ADRA2B	CRLF1
ADRA2B	GRM4	0.0825079870391775	undirected	ADRA2B	GRM4
ADRA2B	NPFFR1	0.0269622154213879	undirected	ADRA2B	NPFFR1
AGR3	AWAT1	0.0222143708265797	undirected	AGR3	NA
AGR3	EFNA5	0.0227504833062215	undirected	AGR3	EFNA5
AGR3	FGF11	0.0235735195876259	undirected	AGR3	FGF11
AGR3	FZD10.AS1	0.0253482709300104	undirected	AGR3	NA
AGR3	GLT8D2	0.0248458092312061	undirected	AGR3	GLT8D2
AGR3	KLRG2	0.0220415354783816	undirected	AGR3	KLRG2
AGR3	LHFPL3.AS2	0.0296921945590259	undirected	AGR3	NA
AGR3	LINC00507	0.030335267841179	undirected	AGR3	NA
AGR3	LRRC34	0.0200499811861526	undirected	AGR3	LRRC34
AGR3	PDZRN3	0.0270807310685148	undirected	AGR3	PDZRN3
AGR3	PIWIL3	0.0298562184268679	undirected	AGR3	PIWIL3
AGR3	PRKG1	0.0383145747976842	undirected	AGR3	PRKG1
AGR3	SGSM2	0.0340162413184248	undirected	AGR3	SGSM2
AGR3	THPO	0.0223687022703236	undirected	AGR3	THPO
AGR3	ZBTB46.AS1	0.0205520062573632	undirected	AGR3	NA
AGTR2	KDR	0.506379499924138	undirected	AGTR2	KDR
AGTR2	MORN5	0.515838291245056	undirected	AGTR2	MORN5
AGTR2	ZNF485	0.300739175890208	undirected	AGTR2	ZNF485
AKAP2	RHOXF2	0.0428541847805123	undirected	AKAP2	RHOXF2
ALG1	AP1S3	0.27529223322836	undirected	ALG1	AP1S3
