fromNode	toNode	weight	direction	fromAltName	toAltName
AEBP1	BLK	0.0215004643493495	undirected	AEBP1	BLK
AEBP1	CD72	0.021654653086162	undirected	AEBP1	CD72
AEBP1	FAM129C	0.0216241815998354	undirected	AEBP1	FAM129C
AEBP1	FCRL2	0.0221788449907717	undirected	AEBP1	FCRL2
AEBP1	FCRLA	0.0224519945993797	undirected	AEBP1	FCRLA
AFF3	BCL7A	0.0243003178371903	undirected	AFF3	BCL7A
AFF3	BLK	0.0328318850115449	undirected	AFF3	BLK
AFF3	CD72	0.0363174564206163	undirected	AFF3	CD72
AFF3	ELL3	0.0222881734269061	undirected	AFF3	ELL3
AFF3	FAM129C	0.036937097701839	undirected	AFF3	FAM129C
AFF3	FCRL2	0.0299496760857396	undirected	AFF3	FCRL2
AFF3	FCRLA	0.0351384005776092	undirected	AFF3	FCRLA
AFF3	QRSL1	0.0237561918472942	undirected	AFF3	QRSL1
AFF3	TCF4	0.0200637404817794	undirected	AFF3	TCF4
ANKS6	ATP6V0E2.AS1	0.041034183874612	undirected	ANKS6	NA
ANKS6	DCAF4	0.020650075617849	undirected	ANKS6	NA
ANKS6	GPRASP1	0.0346121921505957	undirected	ANKS6	GPRASP1
ANKS6	HIP1R	0.0349487503794556	undirected	ANKS6	HIP1R
ATP6V0E2.AS1	GPRASP1	0.0227972848169423	undirected	NA	GPRASP1
BACH2	BANK1	0.0287004117589362	undirected	BACH2	BANK1
BACH2	BCL7A	0.020553070825996	undirected	BACH2	BCL7A
BACH2	CXCR5	0.0275778975265706	undirected	BACH2	CXCR5
BACH2	E2F5	0.0372299003127641	undirected	BACH2	E2F5
BACH2	FCRL1	0.0343971150130732	undirected	BACH2	FCRL1
BACH2	FCRL2	0.0261289119640136	undirected	BACH2	FCRL2
BACH2	FCRLA	0.0248937428365965	undirected	BACH2	FCRLA
BACH2	GPRASP1	0.0229477815944666	undirected	BACH2	GPRASP1
BACH2	HIP1R	0.0217126961281134	undirected	BACH2	HIP1R
BACH2	LINC00926	0.0323363064022206	undirected	BACH2	NA
BACH2	QRSL1	0.0401073654296484	undirected	BACH2	QRSL1
BANK1	BCL11A	0.0206713208105372	undirected	BANK1	BCL11A
BANK1	BCL7A	0.0246680237144834	undirected	BANK1	BCL7A
BANK1	BLNK	0.0397590333503158	undirected	BANK1	BLNK
BANK1	CD72	0.051100919064885	undirected	BANK1	CD72
BANK1	CXCR5	0.0804299367250554	undirected	BANK1	CXCR5
BANK1	DENND5B	0.0214971455848576	undirected	BANK1	DENND5B
BANK1	E2F5	0.0333220660239493	undirected	BANK1	E2F5
BANK1	EBF1	0.0578928516586338	undirected	BANK1	EBF1
BANK1	FAM129C	0.023103371758749	undirected	BANK1	FAM129C
BANK1	FAM30A	0.0435527344284322	undirected	BANK1	FAM30A
BANK1	FCRL1	0.0807103133402094	undirected	BANK1	FCRL1
BANK1	FCRL2	0.0723969884132695	undirected	BANK1	FCRL2
BANK1	FCRLA	0.0325799321678839	undirected	BANK1	FCRLA
BANK1	HIP1R	0.0374809511977603	undirected	BANK1	HIP1R
BANK1	LINC00926	0.0585962681218155	undirected	BANK1	NA
BANK1	LINC01013	0.0208295976387984	undirected	BANK1	NA
BANK1	OSBPL10	0.0269392248054803	undirected	BANK1	OSBPL10
BANK1	PLEKHG1	0.035451383536675	undirected	BANK1	PLEKHG1
BANK1	PNOC	0.040057283151784	undirected	BANK1	PNOC
BANK1	QRSL1	0.0236607061883803	undirected	BANK1	QRSL1
BANK1	STRBP	0.0215522783618327	undirected	BANK1	STRBP
BANK1	SWAP70	0.0452729061026379	undirected	BANK1	SWAP70
BCL11A	BCL7A	0.0410118297088499	undirected	BCL11A	BCL7A
BCL11A	BLNK	0.036820257134649	undirected	BCL11A	BLNK
BCL11A	CD72	0.0312443416249777	undirected	BCL11A	CD72
BCL11A	CXCR5	0.0303991300618027	undirected	BCL11A	CXCR5
BCL11A	E2F5	0.0410591811559216	undirected	BCL11A	E2F5
BCL11A	EBF1	0.0465376796580284	undirected	BCL11A	EBF1
BCL11A	FCRL1	0.0267271401724075	undirected	BCL11A	FCRL1
BCL11A	FCRL2	0.0344650303387243	undirected	BCL11A	FCRL2
BCL11A	FCRLA	0.0307478973920599	undirected	BCL11A	FCRLA
BCL11A	LINC00926	0.0251000911653609	undirected	BCL11A	NA
BCL11A	OSBPL10	0.0219663745270487	undirected	BCL11A	OSBPL10
BCL11A	PNOC	0.0444925360084707	undirected	BCL11A	PNOC
BCL11A	QRSL1	0.0251076858632324	undirected	BCL11A	QRSL1
BCL11A	SWAP70	0.0319962090080338	undirected	BCL11A	SWAP70
BCL11A	TCF4	0.02389395759622	undirected	BCL11A	TCF4
BCL7A	BLK	0.0335946499363962	undirected	BCL7A	BLK
BCL7A	BLNK	0.0400570593573164	undirected	BCL7A	BLNK
BCL7A	CD72	0.0727750517520369	undirected	BCL7A	CD72
BCL7A	COL19A1	0.0265128188206375	undirected	BCL7A	COL19A1
BCL7A	CXCR5	0.0247649091084718	undirected	BCL7A	CXCR5
BCL7A	DENND5B	0.0295075645171684	undirected	BCL7A	DENND5B
BCL7A	E2F5	0.0312683040275835	undirected	BCL7A	E2F5
BCL7A	EBF1	0.0399622956561555	undirected	BCL7A	EBF1
BCL7A	ELL3	0.0245762720284349	undirected	BCL7A	ELL3
BCL7A	FAM129C	0.0274775490174826	undirected	BCL7A	FAM129C
BCL7A	FAM30A	0.0391355424951527	undirected	BCL7A	FAM30A
BCL7A	FCRL1	0.0522865274823281	undirected	BCL7A	FCRL1
BCL7A	FCRL2	0.0620235539524406	undirected	BCL7A	FCRL2
BCL7A	FCRL5	0.0439867715116531	undirected	BCL7A	FCRL5
BCL7A	FCRLA	0.0489668814434735	undirected	BCL7A	FCRLA
BCL7A	HS3ST1	0.0205700341765095	undirected	BCL7A	HS3ST1
BCL7A	KHDRBS2	0.0225942917840088	undirected	BCL7A	KHDRBS2
BCL7A	LINC00926	0.052415221807103	undirected	BCL7A	NA
BCL7A	LINC01013	0.0258285967791576	undirected	BCL7A	NA
BCL7A	MIR600HG	0.0223660088104796	undirected	BCL7A	NA
