fromNode	toNode	weight	direction	fromAltName	toAltName
AKR1C3	MLC1	0.0249745485386564	undirected	AKR1C3	MLC1
AKR1C3	SH2D1B	0.0483234581887637	undirected	AKR1C3	SH2D1B
AKR1C3	SPON2	0.0517469892625948	undirected	AKR1C3	SPON2
APOBEC3G	KIF21A	0.0436189481849356	undirected	APOBEC3G	KIF21A
APOBEC3G	SLAMF7	0.0317234636423085	undirected	APOBEC3G	SLAMF7
B3GAT1	BFSP1	0.0464651459384816	undirected	B3GAT1	BFSP1
B3GAT1	ERBB2	0.0335656641399681	undirected	B3GAT1	ERBB2
B3GAT1	FASLG	0.0403530871936006	undirected	B3GAT1	FASLG
B3GAT1	FGFBP2	0.0728988380496259	undirected	B3GAT1	FGFBP2
B3GAT1	NUAK1	0.0575891822427688	undirected	B3GAT1	NUAK1
B3GAT1	PRSS23	0.0673026442259282	undirected	B3GAT1	PRSS23
B3GAT1	PTGDR	0.0488774912135596	undirected	B3GAT1	PTGDR
B3GAT1	RGS9	0.0662871082475835	undirected	B3GAT1	RGS9
B3GAT1	SLC1A7	0.0901234896593921	undirected	B3GAT1	SLC1A7
B3GAT1	SPON2	0.0229628175528389	undirected	B3GAT1	SPON2
B3GAT1	TBX21	0.0446778679345059	undirected	B3GAT1	TBX21
B3GAT1	TSEN54	0.0214304206294318	undirected	B3GAT1	TSEN54
B3GAT1	YPEL1	0.0382726003567381	undirected	B3GAT1	YPEL1
BFSP1	CCR5	0.0264834963382659	undirected	BFSP1	CCR5
BFSP1	ENPP5	0.0227932095512761	undirected	BFSP1	ENPP5
BFSP1	ERBB2	0.0439109607516632	undirected	BFSP1	ERBB2
BFSP1	FASLG	0.0511223296039097	undirected	BFSP1	FASLG
BFSP1	FGFBP2	0.0532061811411406	undirected	BFSP1	FGFBP2
BFSP1	GRHL2	0.027925602333254	undirected	BFSP1	GRHL2
BFSP1	JAKMIP1	0.036411477133567	undirected	BFSP1	JAKMIP1
BFSP1	MLC1	0.0229878580438816	undirected	BFSP1	MLC1
BFSP1	NUAK1	0.0555863440330452	undirected	BFSP1	NUAK1
BFSP1	PRSS23	0.0498183337313908	undirected	BFSP1	PRSS23
BFSP1	PRSS30P	0.0205111918980095	undirected	BFSP1	NA
BFSP1	PTGDR	0.0583037434115099	undirected	BFSP1	PTGDR
BFSP1	PYHIN1	0.0231985199981827	undirected	BFSP1	PYHIN1
BFSP1	RGS9	0.0716798071092298	undirected	BFSP1	RGS9
BFSP1	SLC1A7	0.098554870056058	undirected	BFSP1	SLC1A7
BFSP1	SPON2	0.0276840563952413	undirected	BFSP1	SPON2
BFSP1	SYTL2	0.0288169064772806	undirected	BFSP1	SYTL2
BFSP1	TBX21	0.0722369956119271	undirected	BFSP1	TBX21
BFSP1	TOX	0.0235490374352996	undirected	BFSP1	TOX
BFSP1	TSEN54	0.0281413516416353	undirected	BFSP1	TSEN54
BFSP1	VIT	0.0225301371036355	undirected	BFSP1	VIT
BFSP1	YPEL1	0.0392121210071646	undirected	BFSP1	YPEL1
CCR5	FGFBP2	0.0213865747032813	undirected	CCR5	FGFBP2
CCR5	JAKMIP1	0.0372740520608219	undirected	CCR5	JAKMIP1
CMKLR1	NMUR1	0.02689436049725	undirected	CMKLR1	NMUR1
CMKLR1	TBX21	0.0291623287846715	undirected	CMKLR1	TBX21
ENPP5	FASLG	0.0265764434144533	undirected	ENPP5	FASLG
ENPP5	FGFBP2	0.0356994746202934	undirected	ENPP5	FGFBP2
ENPP5	PRSS23	0.0323073097674897	undirected	ENPP5	PRSS23
ENPP5	PTGDR	0.0292527509065459	undirected	ENPP5	PTGDR
ENPP5	RGS9	0.0272685702970423	undirected	ENPP5	RGS9
ENPP5	SLC1A7	0.0274980443528903	undirected	ENPP5	SLC1A7
ENPP5	TOX	0.0209928930176396	undirected	ENPP5	TOX
ERBB2	FASLG	0.0239161634520986	undirected	ERBB2	FASLG
ERBB2	FGFBP2	0.0704138478317898	undirected	ERBB2	FGFBP2
ERBB2	PRSS23	0.0600685867652028	undirected	ERBB2	PRSS23
ERBB2	PTGDR	0.0262190856287381	undirected	ERBB2	PTGDR
ERBB2	RGS9	0.0242282640489536	undirected	ERBB2	RGS9
ERBB2	SLC1A7	0.0473786679793016	undirected	ERBB2	SLC1A7
ERBB2	SPON2	0.0324643452844284	undirected	ERBB2	SPON2
ERBB2	TBX21	0.0270774570974734	undirected	ERBB2	TBX21
FASLG	FEZ1	0.0208410569200469	undirected	FASLG	FEZ1
FASLG	FGFBP2	0.090384108394752	undirected	FASLG	FGFBP2
FASLG	NUAK1	0.0312862504519912	undirected	FASLG	NUAK1
FASLG	PRSS23	0.0755205286174706	undirected	FASLG	PRSS23
FASLG	PTGDR	0.054091319001445	undirected	FASLG	PTGDR
FASLG	PYHIN1	0.0208924796712348	undirected	FASLG	PYHIN1
FASLG	RGS9	0.0440884210948372	undirected	FASLG	RGS9
FASLG	SLAMF7	0.027943241046692	undirected	FASLG	SLAMF7
FASLG	SLC1A7	0.0565167938250442	undirected	FASLG	SLC1A7
FASLG	SPON2	0.0420161320931171	undirected	FASLG	SPON2
FASLG	SYTL2	0.0275111113771446	undirected	FASLG	SYTL2
FASLG	TBX21	0.0553446491179265	undirected	FASLG	TBX21
FASLG	TOX	0.0202824649347529	undirected	FASLG	TOX
FASLG	TSEN54	0.0245112539990124	undirected	FASLG	TSEN54
FASLG	YPEL1	0.0293478718464734	undirected	FASLG	YPEL1
FEZ1	FGFBP2	0.0416127762314621	undirected	FEZ1	FGFBP2
FEZ1	PRSS23	0.031893222307497	undirected	FEZ1	PRSS23
FEZ1	PTGDR	0.021133197776724	undirected	FEZ1	PTGDR
FEZ1	SLC1A7	0.0220337153536233	undirected	FEZ1	SLC1A7
FGFBP2	GRHL2	0.0273581109156286	undirected	FGFBP2	GRHL2
FGFBP2	JAKMIP1	0.028356422220662	undirected	FGFBP2	JAKMIP1
FGFBP2	MLC1	0.0422722005049468	undirected	FGFBP2	MLC1
FGFBP2	NUAK1	0.0773206565288446	undirected	FGFBP2	NUAK1
FGFBP2	PDGFD	0.020520090801857	undirected	FGFBP2	PDGFD
FGFBP2	PRSS23	0.0604544990410393	undirected	FGFBP2	PRSS23
FGFBP2	PRSS30P	0.0391797714684317	undirected	FGFBP2	NA
FGFBP2	PTGDR	0.105796834258946	undirected	FGFBP2	PTGDR
FGFBP2	PYHIN1	0.0387085830343004	undirected	FGFBP2	PYHIN1
FGFBP2	RGS9	0.102305489150595	undirected	FGFBP2	RGS9
FGFBP2	SH2D1B	0.0459198218383379	undirected	FGFBP2	SH2D1B
FGFBP2	SLC1A7	0.159649803470887	undirected	FGFBP2	SLC1A7
FGFBP2	SPON2	0.0583732834335098	undirected	FGFBP2	SPON2
FGFBP2	SYTL2	0.0430278910373803	undirected	FGFBP2	SYTL2
FGFBP2	TBX21	0.0762030807534995	undirected	FGFBP2	TBX21
FGFBP2	TOX	0.0349646598763809	undirected	FGFBP2	TOX
FGFBP2	TSEN54	0.0513097452913061	undirected	FGFBP2	TSEN54
