fromNode	toNode	weight	direction	fromAltName	toAltName
ADGRF3	ANKMY2	0.0279935936911646	undirected	NA	ANKMY2
ADGRF3	CCDC149	0.0221349314341356	undirected	NA	CCDC149
ADGRF3	KRT19P2	0.036624871838064	undirected	NA	KRT19P2
ADGRF3	KRTAP19.1	0.0219939894450055	undirected	NA	NA
ADGRF3	PCIF1	0.0304778516039036	undirected	NA	PCIF1
ADGRF3	SLC32A1	0.0302175381681066	undirected	NA	SLC32A1
ADGRF3	SRCIN1	0.0213192742068858	undirected	NA	NA
ALDH3B2	CCDC149	0.0275102828160416	undirected	ALDH3B2	CCDC149
ALDH3B2	CCR3	0.0205941830576347	undirected	ALDH3B2	CCR3
ALDH3B2	COL4A1	0.0231045701751585	undirected	ALDH3B2	COL4A1
ALDH3B2	DRD3	0.0325036291112741	undirected	ALDH3B2	DRD3
ALDH3B2	DUX3	0.0214564943949522	undirected	ALDH3B2	DUX3
ALDH3B2	ENPP7	0.0299608611736857	undirected	ALDH3B2	ENPP7
ALDH3B2	KRT19P2	0.0233043979664674	undirected	ALDH3B2	KRT19P2
ALDH3B2	KRTAP19.1	0.0315774482437873	undirected	ALDH3B2	NA
ALDH3B2	MUC5AC	0.0207852447699856	undirected	ALDH3B2	MUC5AC
ALDH3B2	OR7E5P	0.0286964025955543	undirected	ALDH3B2	OR7E5P
ALDH3B2	PCIF1	0.022216438455258	undirected	ALDH3B2	PCIF1
ALDH3B2	TERT	0.0251774270016435	undirected	ALDH3B2	TERT
ANKMY2	CCDC149	0.0304334233488613	undirected	ANKMY2	CCDC149
ANKMY2	CCR3	0.0200526397844014	undirected	ANKMY2	CCR3
ANKMY2	DUX3	0.0317210136397323	undirected	ANKMY2	DUX3
ANKMY2	ITGBL1	0.0288498260791604	undirected	ANKMY2	ITGBL1
ANKMY2	KRT19P2	0.0637169790916911	undirected	ANKMY2	KRT19P2
ANKMY2	KRTAP19.1	0.0247621197667987	undirected	ANKMY2	NA
ANKMY2	KYAT3	0.0449402987670071	undirected	ANKMY2	NA
ANKMY2	LINC00965	0.0309140959283434	undirected	ANKMY2	NA
ANKMY2	MTCL1	0.0256501066954695	undirected	ANKMY2	NA
ANKMY2	OR7E5P	0.03321805213985	undirected	ANKMY2	OR7E5P
ANKMY2	PCIF1	0.0246256567804152	undirected	ANKMY2	PCIF1
ANKMY2	PRDM7	0.0301630647647825	undirected	ANKMY2	PRDM7
ANKMY2	RBFOX2	0.0386612116154327	undirected	ANKMY2	NA
ANKMY2	SLC32A1	0.021253530445084	undirected	ANKMY2	SLC32A1
ANKMY2	TERT	0.0249886408645672	undirected	ANKMY2	TERT
ANKMY2	TMEM217	0.0230641032663901	undirected	ANKMY2	TMEM217
ANKMY2	ZDHHC9	0.048837076390803	undirected	ANKMY2	ZDHHC9
ATP2B3	PARP10	0.0251094220464482	undirected	ATP2B3	PARP10
CCDC149	CCL19	0.0732331978503248	undirected	CCDC149	CCL19
CCDC149	CCR3	0.111728798851814	undirected	CCDC149	CCR3
CCDC149	COL4A1	0.0879315599100141	undirected	CCDC149	COL4A1
CCDC149	DKK2	0.100930467593295	undirected	CCDC149	DKK2
CCDC149	DNM1P46	0.0640755480872724	undirected	CCDC149	NA
CCDC149	DRD3	0.0544032678523825	undirected	CCDC149	DRD3
CCDC149	DRD5	0.0813054985957904	undirected	CCDC149	DRD5
CCDC149	DRD5P2	0.0779895900556837	undirected	CCDC149	NA
CCDC149	DUX3	0.110131252187492	undirected	CCDC149	DUX3
CCDC149	ELAVL3	0.0233972645299311	undirected	CCDC149	ELAVL3
CCDC149	ENPP7	0.0591887552452796	undirected	CCDC149	ENPP7
CCDC149	FAM27E5	0.0238886097295726	undirected	CCDC149	NA
CCDC149	FAM86B3P	0.0212845033782688	undirected	CCDC149	NA
CCDC149	GABRE	0.143660210377981	undirected	CCDC149	GABRE
CCDC149	HIF3A	0.0284777074328055	undirected	CCDC149	HIF3A
CCDC149	ITGBL1	0.115462640998969	undirected	CCDC149	ITGBL1
CCDC149	KLF17	0.031857355831415	undirected	CCDC149	KLF17
CCDC149	KRT16P3	0.0701897933089686	undirected	CCDC149	NA
CCDC149	KRT19P2	0.144744257546924	undirected	CCDC149	KRT19P2
CCDC149	KRTAP19.1	0.0920814144574512	undirected	CCDC149	NA
CCDC149	KRTAP8.1	0.0338079096350226	undirected	CCDC149	NA
CCDC149	KYAT3	0.124086368104212	undirected	CCDC149	NA
CCDC149	LCE1F	0.0694388304332972	undirected	CCDC149	LCE1F
CCDC149	LGALS7	0.143144694310936	undirected	CCDC149	LGALS7
CCDC149	LINC00965	0.0915064695413478	undirected	CCDC149	NA
CCDC149	MMP14	0.0276388028279938	undirected	CCDC149	MMP14
CCDC149	MTCL1	0.175362984750636	undirected	CCDC149	NA
CCDC149	MUC5AC	0.0408128577111764	undirected	CCDC149	MUC5AC
CCDC149	NXPH3	0.0337396296947269	undirected	CCDC149	NXPH3
CCDC149	OR7E5P	0.122154821029358	undirected	CCDC149	OR7E5P
CCDC149	PCIF1	0.0343968136869792	undirected	CCDC149	PCIF1
CCDC149	PITX2	0.037920986947263	undirected	CCDC149	PITX2
CCDC149	POM121L8P	0.0742350438119154	undirected	CCDC149	NA
CCDC149	POM121L9P	0.036040426192957	undirected	CCDC149	NA
CCDC149	PRDM7	0.149762065685943	undirected	CCDC149	PRDM7
CCDC149	PSG8	0.0449263372233409	undirected	CCDC149	PSG8
CCDC149	RAB36	0.0409632102214413	undirected	CCDC149	RAB36
CCDC149	RBFOX2	0.112291730356967	undirected	CCDC149	NA
CCDC149	RPH3AL	0.0200826236319693	undirected	CCDC149	RPH3AL
CCDC149	SCTR	0.0431000975017187	undirected	CCDC149	SCTR
CCDC149	SLC32A1	0.0859369268240973	undirected	CCDC149	SLC32A1
CCDC149	SPDYE1	0.0346592234931126	undirected	CCDC149	NA
CCDC149	SPEM2	0.142907731443413	undirected	CCDC149	NA
CCDC149	SRCIN1	0.0785650022314266	undirected	CCDC149	NA
CCDC149	TAC1	0.0362782267299687	undirected	CCDC149	TAC1
CCDC149	TDGF1	0.065028935278334	undirected	CCDC149	TDGF1
CCDC149	TERT	0.164888126258542	undirected	CCDC149	TERT
CCDC149	TMEM217	0.065616373923887	undirected	CCDC149	TMEM217
CCDC149	TMEM35A	0.0422073212572986	undirected	CCDC149	NA
CCDC149	TNR	0.0336047294968516	undirected	CCDC149	TNR
CCDC149	VCX	0.0317755051900372	undirected	CCDC149	VCX
CCDC149	VCX2	0.047070623019601	undirected	CCDC149	VCX2
CCDC149	VCX3A	0.0230810139341431	undirected	CCDC149	VCX3A
CCDC149	ZDHHC9	0.0738886750583044	undirected	CCDC149	ZDHHC9
CCDC149	ZNF595	0.105599139996945	undirected	CCDC149	ZNF595
CCL19	CCR3	0.0464047498151297	undirected	CCL19	CCR3
CCL19	COL4A1	0.030552180537929	undirected	CCL19	COL4A1
CCL19	DKK2	0.0311230929337455	undirected	CCL19	DKK2
CCL19	DNM1P46	0.025571499266469	undirected	CCL19	NA
CCL19	DRD3	0.0324223181361449	undirected	CCL19	DRD3
CCL19	DRD5	0.0269932102398687	undirected	CCL19	DRD5
CCL19	DRD5P2	0.0259064615510781	undirected	CCL19	NA
CCL19	DUX3	0.041879825287119	undirected	CCL19	DUX3
CCL19	ENPP7	0.024352680701982	undirected	CCL19	ENPP7
CCL19	GABRE	0.0403287863651745	undirected	CCL19	GABRE
CCL19	HIF3A	0.0266705875501729	undirected	CCL19	HIF3A
CCL19	ITGBL1	0.057955034853747	undirected	CCL19	ITGBL1
CCL19	KLF17	0.0238966379700558	undirected	CCL19	KLF17
CCL19	KRT16P3	0.0340622891555096	undirected	CCL19	NA
CCL19	KRT19P2	0.0753645480001565	undirected	CCL19	KRT19P2
CCL19	KRTAP19.1	0.0594014729143043	undirected	CCL19	NA
CCL19	KRTAP8.1	0.0359285569841531	undirected	CCL19	NA
CCL19	KYAT3	0.0360929967768301	undirected	CCL19	NA
CCL19	LCE1F	0.059926756746425	undirected	CCL19	LCE1F
CCL19	LGALS7	0.0892812214066283	undirected	CCL19	LGALS7
CCL19	LINC00965	0.0234680514479156	undirected	CCL19	NA
CCL19	MTCL1	0.0572901567195355	undirected	CCL19	NA
CCL19	MUC5AC	0.0294938576306543	undirected	CCL19	MUC5AC
CCL19	NXPH3	0.0240650579644198	undirected	CCL19	NXPH3
CCL19	OR7E5P	0.0340487548842846	undirected	CCL19	OR7E5P
CCL19	PCIF1	0.0246288696717573	undirected	CCL19	PCIF1
CCL19	POM121L8P	0.0327073429537751	undirected	CCL19	NA
CCL19	PRDM7	0.0733079177963355	undirected	CCL19	PRDM7
CCL19	RBFOX2	0.0364573082297092	undirected	CCL19	NA
CCL19	SCTR	0.0234260585783425	undirected	CCL19	SCTR
CCL19	SLC32A1	0.0338372286317141	undirected	CCL19	SLC32A1
CCL19	SPEM2	0.0860400902788906	undirected	CCL19	NA
CCL19	TAC1	0.0256484407433351	undirected	CCL19	TAC1
CCL19	TDGF1	0.0291077350510872	undirected	CCL19	TDGF1
CCL19	TERT	0.0951216996953088	undirected	CCL19	TERT
CCL19	TMEM217	0.0258606037244205	undirected	CCL19	TMEM217
CCL19	TMEM35A	0.026753716816566	undirected	CCL19	NA
CCL19	TNR	0.0485119402047384	undirected	CCL19	TNR
CCL19	VCX2	0.0211537920175774	undirected	CCL19	VCX2
CCL19	ZDHHC9	0.0228288108892426	undirected	CCL19	ZDHHC9
CCL19	ZNF595	0.0299912324494682	undirected	CCL19	ZNF595
CCR3	COL4A1	0.0527681560390885	undirected	CCR3	COL4A1
CCR3	DKK2	0.0542026440606121	undirected	CCR3	DKK2
CCR3	DNM1P46	0.0402560744718982	undirected	CCR3	NA
CCR3	DRD3	0.0445659855041881	undirected	CCR3	DRD3
CCR3	DRD5	0.0441895419374077	undirected	CCR3	DRD5
CCR3	DRD5P2	0.0400872091062745	undirected	CCR3	NA
CCR3	DUX3	0.0660428471766322	undirected	CCR3	DUX3
CCR3	ELAVL3	0.0284574075874793	undirected	CCR3	ELAVL3
CCR3	ENPP7	0.0404538603694958	undirected	CCR3	ENPP7
CCR3	GABRE	0.0779872087911709	undirected	CCR3	GABRE
CCR3	ITGBL1	0.0783222606949258	undirected	CCR3	ITGBL1
CCR3	KRT16P3	0.0523246425779592	undirected	CCR3	NA
CCR3	KRT19P2	0.085649038873572	undirected	CCR3	KRT19P2
CCR3	KRTAP19.1	0.0659212534365576	undirected	CCR3	NA
CCR3	KRTAP8.1	0.0285399782840795	undirected	CCR3	NA
CCR3	KYAT3	0.0649720499499092	undirected	CCR3	NA
CCR3	LCE1F	0.0549935074615848	undirected	CCR3	LCE1F
CCR3	LGALS7	0.0868205953642398	undirected	CCR3	LGALS7
CCR3	LINC00965	0.0421198610130071	undirected	CCR3	NA
CCR3	MTCL1	0.0889784535487608	undirected	CCR3	NA
CCR3	MUC5AC	0.0361948706880363	undirected	CCR3	MUC5AC
CCR3	NTRK3	0.020524247894335	undirected	CCR3	NTRK3
CCR3	NXPH3	0.0269186436934704	undirected	CCR3	NXPH3
CCR3	OR7E5P	0.0627896792425741	undirected	CCR3	OR7E5P
CCR3	PCIF1	0.0250590777055716	undirected	CCR3	PCIF1
CCR3	PITX2	0.0247547464224489	undirected	CCR3	PITX2
CCR3	POM121L8P	0.0382570091049155	undirected	CCR3	NA
CCR3	PRDM7	0.0813471102277294	undirected	CCR3	PRDM7
CCR3	PSG8	0.0238695470527824	undirected	CCR3	PSG8
CCR3	RAB36	0.0207587788167226	undirected	CCR3	RAB36
CCR3	RBFOX2	0.0602492390915431	undirected	CCR3	NA
CCR3	SCTR	0.0374804371468408	undirected	CCR3	SCTR
CCR3	SLC32A1	0.0505707031620761	undirected	CCR3	SLC32A1
CCR3	SPEM2	0.0812989900828737	undirected	CCR3	NA
CCR3	SRCIN1	0.0457391346303665	undirected	CCR3	NA
CCR3	TDGF1	0.0304902274181081	undirected	CCR3	TDGF1
CCR3	TERT	0.0964876720901177	undirected	CCR3	TERT
CCR3	TMEM217	0.0535571607244907	undirected	CCR3	TMEM217
CCR3	TMEM35A	0.0252454593637724	undirected	CCR3	NA
CCR3	TNR	0.0238282105902049	undirected	CCR3	TNR
CCR3	VCX2	0.0248320794062173	undirected	CCR3	VCX2
CCR3	ZDHHC9	0.0385543674071375	undirected	CCR3	ZDHHC9
CCR3	ZNF595	0.0500993078192306	undirected	CCR3	ZNF595
CD209	HIF3A	0.0216123469140798	undirected	CD209	HIF3A
CD209	KRTAP19.1	0.0239519400700362	undirected	CD209	NA
CD209	LCE1F	0.0426433568542898	undirected	CD209	LCE1F
CD209	LGALS7	0.0307326290506347	undirected	CD209	LGALS7
CD209	MUC5AC	0.0244971986069373	undirected	CD209	MUC5AC
CD209	SPEM2	0.0321171287449853	undirected	CD209	NA
CD209	TERT	0.0340710793339325	undirected	CD209	TERT
CD209	TNR	0.0299632042700175	undirected	CD209	TNR
CDH16	LGALS7	0.0260905168287308	undirected	CDH16	LGALS7
CDH16	SPEM2	0.0283916949510156	undirected	CDH16	NA
CDH16	TERT	0.023491009061459	undirected	CDH16	TERT
COL4A1	DKK2	0.0345234213402879	undirected	COL4A1	DKK2
COL4A1	DNM1P46	0.0230158021698402	undirected	COL4A1	NA
COL4A1	DRD3	0.0694826064953736	undirected	COL4A1	DRD3
COL4A1	DRD5	0.0248166885099373	undirected	COL4A1	DRD5
COL4A1	DRD5P2	0.023468626296582	undirected	COL4A1	NA
COL4A1	DUX3	0.0431137696299361	undirected	COL4A1	DUX3
COL4A1	ENPP7	0.0520005941675531	undirected	COL4A1	ENPP7
COL4A1	GABRE	0.0531706498632186	undirected	COL4A1	GABRE
COL4A1	ITGBL1	0.0543503618786069	undirected	COL4A1	ITGBL1
COL4A1	KRT16P3	0.0233759283445687	undirected	COL4A1	NA
COL4A1	KRT19P2	0.0631128070628721	undirected	COL4A1	KRT19P2
COL4A1	KRTAP19.1	0.0691286517987081	undirected	COL4A1	NA
COL4A1	KYAT3	0.0366100731574918	undirected	COL4A1	NA
COL4A1	LCE1F	0.0507347922245018	undirected	COL4A1	LCE1F
COL4A1	LGALS7	0.0717049001049173	undirected	COL4A1	LGALS7
COL4A1	LINC00965	0.0233737481794708	undirected	COL4A1	NA
COL4A1	MTCL1	0.0607339105803991	undirected	COL4A1	NA
COL4A1	MUC5AC	0.0542237346036625	undirected	COL4A1	MUC5AC
COL4A1	OR7E5P	0.049851618896752	undirected	COL4A1	OR7E5P
COL4A1	POM121L8P	0.0262373901018469	undirected	COL4A1	NA
COL4A1	PRDM7	0.0640399858137779	undirected	COL4A1	PRDM7
COL4A1	RBFOX2	0.038196336048722	undirected	COL4A1	NA
COL4A1	SLC32A1	0.0311509240249597	undirected	COL4A1	SLC32A1
COL4A1	SPEM2	0.0721128662545532	undirected	COL4A1	NA
COL4A1	SRCIN1	0.022746095026556	undirected	COL4A1	NA
COL4A1	TDGF1	0.0216818707539851	undirected	COL4A1	TDGF1
COL4A1	TERT	0.0972765188605318	undirected	COL4A1	TERT
COL4A1	TMEM217	0.0233168638984134	undirected	COL4A1	TMEM217
COL4A1	TNR	0.0248209126446115	undirected	COL4A1	TNR
COL4A1	ZDHHC9	0.0232186203081705	undirected	COL4A1	ZDHHC9
COL4A1	ZNF595	0.0276888610510408	undirected	COL4A1	ZNF595
CSHL1	LCE1F	0.0233352229913546	undirected	CSHL1	LCE1F
CSHL1	MUC5AC	0.0237910608469044	undirected	CSHL1	MUC5AC
DAND5	LGALS7	0.0231481975846627	undirected	DAND5	LGALS7
DAND5	PRDM7	0.0215657629973222	undirected	DAND5	PRDM7
DAND5	SPEM2	0.0252774739681367	undirected	DAND5	NA
DAND5	TERT	0.0243743692823395	undirected	DAND5	TERT
DKK2	DNM1P46	0.0301116668049178	undirected	DKK2	NA
DKK2	DRD3	0.032183425143037	undirected	DKK2	DRD3
DKK2	DRD5	0.03548537801035	undirected	DKK2	DRD5
DKK2	DRD5P2	0.0377480332434601	undirected	DKK2	NA
DKK2	DUX3	0.0648210542778858	undirected	DKK2	DUX3
DKK2	ENPP7	0.0245151290959601	undirected	DKK2	ENPP7
DKK2	GABRE	0.054096523857497	undirected	DKK2	GABRE
DKK2	HIF3A	0.0273971725545692	undirected	DKK2	HIF3A
DKK2	ITGBL1	0.0787521832536536	undirected	DKK2	ITGBL1
DKK2	KRT16P3	0.0307128129069493	undirected	DKK2	NA
DKK2	KRT19P2	0.102919083762819	undirected	DKK2	KRT19P2
DKK2	KRTAP19.1	0.0636514225703959	undirected	DKK2	NA
DKK2	KRTAP8.1	0.0290350344072429	undirected	DKK2	NA
DKK2	KYAT3	0.0542331839008279	undirected	DKK2	NA
DKK2	LCE1F	0.0554190184953532	undirected	DKK2	LCE1F
DKK2	LGALS7	0.116576986144045	undirected	DKK2	LGALS7
DKK2	LINC00965	0.040205049356525	undirected	DKK2	NA
DKK2	MTCL1	0.0801466147330994	undirected	DKK2	NA
DKK2	MUC5AC	0.0343036135869682	undirected	DKK2	MUC5AC
DKK2	NXPH3	0.0233388843003881	undirected	DKK2	NXPH3
DKK2	OR7E5P	0.0546883041311151	undirected	DKK2	OR7E5P
DKK2	POM121L8P	0.0418316269135693	undirected	DKK2	NA
