fromNode	toNode	weight	direction	fromAltName	toAltName
ACAP2	AKAP8L	0.0327069526941982	undirected	ACAP2	AKAP8L
ACAP2	ASH1L	0.069157347295796	undirected	ACAP2	ASH1L
ACAP2	BTN2A2	0.0240268862447462	undirected	ACAP2	BTN2A2
ACAP2	CASC4	0.0375556131510013	undirected	ACAP2	CASC4
ACAP2	CCDC125	0.0373637247425384	undirected	ACAP2	CCDC125
ACAP2	CCNK	0.0516206328978073	undirected	ACAP2	CCNK
ACAP2	DNAJC3	0.0529095084575635	undirected	ACAP2	DNAJC3
ACAP2	EP300	0.0319407615098772	undirected	ACAP2	EP300
ACAP2	EVI2B	0.0253757379592581	undirected	ACAP2	EVI2B
ACAP2	EXOC3	0.0389999605188309	undirected	ACAP2	EXOC3
ACAP2	FOXN2	0.0437191327181828	undirected	ACAP2	FOXN2
ACAP2	JAK1	0.0458983906023538	undirected	ACAP2	JAK1
ACAP2	KIAA0319L	0.0254841640174684	undirected	ACAP2	KIAA0319L
ACAP2	MACF1	0.0363292366488942	undirected	ACAP2	MACF1
ACAP2	MINDY2	0.0277388700082654	undirected	ACAP2	NA
ACAP2	MYO9B	0.037494153234764	undirected	ACAP2	MYO9B
ACAP2	NCOA3	0.0337258379813843	undirected	ACAP2	NCOA3
ACAP2	NPEPPS	0.0225125968584382	undirected	ACAP2	NPEPPS
ACAP2	OSBPL8	0.023843053268749	undirected	ACAP2	OSBPL8
ACAP2	PACS1	0.0389191863880632	undirected	ACAP2	PACS1
ACAP2	PHF8	0.0538032268167163	undirected	ACAP2	PHF8
ACAP2	PHYKPL	0.0205665913208117	undirected	ACAP2	NA
ACAP2	PRDM1	0.0295867662361279	undirected	ACAP2	PRDM1
ACAP2	RNF213	0.0302562490350011	undirected	ACAP2	RNF213
ACAP2	SAFB	0.0387920483516927	undirected	ACAP2	SAFB
ACAP2	SETD2	0.0263496003479282	undirected	ACAP2	SETD2
ACAP2	SLC35E3	0.0242766816674298	undirected	ACAP2	SLC35E3
ACAP2	SNRK	0.0214748542752824	undirected	ACAP2	SNRK
ACAP2	SRSF4	0.0227358962891191	undirected	ACAP2	NA
ACAP2	STAG2	0.0371267410147721	undirected	ACAP2	STAG2
ACAP2	TNRC6B	0.0300651968517813	undirected	ACAP2	TNRC6B
ACAP2	VASP	0.0432851032107151	undirected	ACAP2	VASP
AKAP8L	ASH1L	0.0326040957352488	undirected	AKAP8L	ASH1L
AKAP8L	BTN2A2	0.0247720859288921	undirected	AKAP8L	BTN2A2
AKAP8L	JAK1	0.0439386786074811	undirected	AKAP8L	JAK1
AKAP8L	MACF1	0.0223831761931526	undirected	AKAP8L	MACF1
AKAP8L	MYO9B	0.0221026130061649	undirected	AKAP8L	MYO9B
AKAP8L	PACS1	0.0246806519273145	undirected	AKAP8L	PACS1
AKAP8L	PHF8	0.0262594522270496	undirected	AKAP8L	PHF8
AKAP8L	RNF213	0.0258362996858607	undirected	AKAP8L	RNF213
AKAP8L	TNRC6B	0.0524595222250407	undirected	AKAP8L	TNRC6B
ASH1L	ATF7IP	0.0290490246418013	undirected	ASH1L	ATF7IP
ASH1L	BTN2A2	0.0507285157017052	undirected	ASH1L	BTN2A2
ASH1L	CASC4	0.0245450623572281	undirected	ASH1L	CASC4
ASH1L	CCNK	0.0493082243335081	undirected	ASH1L	CCNK
ASH1L	DNAJC3	0.0539531652259896	undirected	ASH1L	DNAJC3
ASH1L	EP300	0.0257101724119456	undirected	ASH1L	EP300
ASH1L	EXOC3	0.0248952756681825	undirected	ASH1L	EXOC3
ASH1L	FOXN2	0.0283693979943702	undirected	ASH1L	FOXN2
ASH1L	JAK1	0.0523213520131728	undirected	ASH1L	JAK1
ASH1L	JUN	0.0202847128558571	undirected	ASH1L	JUN
ASH1L	LARP4	0.0306493631158722	undirected	ASH1L	LARP4
ASH1L	MACF1	0.0561005587369177	undirected	ASH1L	MACF1
ASH1L	MYO9B	0.0226913896951303	undirected	ASH1L	MYO9B
ASH1L	NBPF10	0.0300418514090404	undirected	ASH1L	NBPF10
ASH1L	NCOA3	0.0455579782104751	undirected	ASH1L	NCOA3
ASH1L	PACS1	0.0453583086702485	undirected	ASH1L	PACS1
ASH1L	PHF8	0.089021362322881	undirected	ASH1L	PHF8
ASH1L	PHYKPL	0.0272771116520206	undirected	ASH1L	NA
ASH1L	PRDM1	0.0242259716128155	undirected	ASH1L	PRDM1
ASH1L	RNF213	0.041231477219732	undirected	ASH1L	RNF213
ASH1L	SAFB	0.0386760511699625	undirected	ASH1L	SAFB
ASH1L	SETD2	0.0354149075331959	undirected	ASH1L	SETD2
ASH1L	SRSF4	0.0277599118911015	undirected	ASH1L	NA
ASH1L	STAG2	0.0328230199558406	undirected	ASH1L	STAG2
ASH1L	TNRC6B	0.0392818611360719	undirected	ASH1L	TNRC6B
ASH1L	VASP	0.02557396435767	undirected	ASH1L	VASP
ATF7IP	BRD3	0.022032545737056	undirected	ATF7IP	BRD3
ATF7IP	CASC4	0.0598625538798015	undirected	ATF7IP	CASC4
ATF7IP	CCNK	0.0278631260716669	undirected	ATF7IP	CCNK
ATF7IP	EP300	0.0566377697992463	undirected	ATF7IP	EP300
ATF7IP	EXOC3	0.0275599388986409	undirected	ATF7IP	EXOC3
ATF7IP	GTF2A1	0.022583984674689	undirected	ATF7IP	GTF2A1
ATF7IP	HNRNPU	0.0218909088673037	undirected	ATF7IP	HNRNPU
ATF7IP	JUN	0.0341475344247537	undirected	ATF7IP	JUN
ATF7IP	KIAA0319L	0.0365578326268569	undirected	ATF7IP	KIAA0319L
ATF7IP	LRRC37A2	0.042017317264099	undirected	ATF7IP	LRRC37A2
ATF7IP	MACF1	0.0296435933683855	undirected	ATF7IP	MACF1
ATF7IP	NBPF10	0.0481015129435807	undirected	ATF7IP	NBPF10
ATF7IP	OSBPL8	0.0255772144178346	undirected	ATF7IP	OSBPL8
ATF7IP	PDE7A	0.0220194711580071	undirected	ATF7IP	PDE7A
ATF7IP	PHF8	0.0316637847037061	undirected	ATF7IP	PHF8
ATF7IP	PRDM1	0.0306310457798058	undirected	ATF7IP	PRDM1
ATF7IP	SAFB	0.0587640423434149	undirected	ATF7IP	SAFB
ATF7IP	SAFB2	0.0299310165848187	undirected	ATF7IP	SAFB2
ATF7IP	SETD2	0.0669500216110692	undirected	ATF7IP	SETD2
ATF7IP	SMG6	0.029290592616388	undirected	ATF7IP	SMG6
ATF7IP	SNRK	0.0233798558566751	undirected	ATF7IP	SNRK
ATF7IP	SRSF4	0.0333115184212023	undirected	ATF7IP	NA
ATF7IP	TET2	0.0380139399043672	undirected	ATF7IP	TET2
ATF7IP	USP34	0.0349430131787503	undirected	ATF7IP	USP34
ATF7IP	ZNF644	0.0238222600175342	undirected	ATF7IP	ZNF644
BRD3	NPEPPS	0.0211340881205742	undirected	BRD3	NPEPPS
BRD3	PACS1	0.0204271805137738	undirected	BRD3	PACS1
BTN2A2	CCNK	0.0252513382650634	undirected	BTN2A2	CCNK
BTN2A2	JAK1	0.0346270928372909	undirected	BTN2A2	JAK1
BTN2A2	LARP4	0.0225875130503397	undirected	BTN2A2	LARP4
BTN2A2	MACF1	0.0338836737026741	undirected	BTN2A2	MACF1
BTN2A2	MYO9B	0.0237903871158324	undirected	BTN2A2	MYO9B
BTN2A2	PHF8	0.0445005717621415	undirected	BTN2A2	PHF8
BTN2A2	PHYKPL	0.023954807573652	undirected	BTN2A2	NA
BTN2A2	RASSF4	0.0291115637996412	undirected	BTN2A2	RASSF4
BTN2A2	RNF213	0.0337852118770913	undirected	BTN2A2	RNF213
BTN2A2	SETD2	0.0271835251253312	undirected	BTN2A2	SETD2
CASC4	CCNK	0.0287039677177283	undirected	CASC4	CCNK
CASC4	DNAJC3	0.0436673211651879	undirected	CASC4	DNAJC3
CASC4	EP300	0.0724960403495138	undirected	CASC4	EP300
CASC4	EVI2B	0.0319200999740588	undirected	CASC4	EVI2B
CASC4	GTF2A1	0.0279914948707376	undirected	CASC4	GTF2A1
CASC4	JUN	0.0215559306898055	undirected	CASC4	JUN
CASC4	MACF1	0.022366183178534	undirected	CASC4	MACF1
CASC4	NBPF10	0.0288884594632038	undirected	CASC4	NBPF10
CASC4	NPEPPS	0.0370735798012181	undirected	CASC4	NPEPPS
CASC4	PACS1	0.0269847278381038	undirected	CASC4	PACS1
CASC4	PHF8	0.0233472686598803	undirected	CASC4	PHF8
CASC4	PRDM1	0.0302273738087823	undirected	CASC4	PRDM1
CASC4	SAFB	0.047550854392199	undirected	CASC4	SAFB
CASC4	SETD2	0.0606267156586522	undirected	CASC4	SETD2
CASC4	SLC35E3	0.0208625343781822	undirected	CASC4	SLC35E3
CASC4	SNRK	0.0210877217516798	undirected	CASC4	SNRK
CASC4	SRSF4	0.02377720823867	undirected	CASC4	NA
CASC4	TET2	0.0317941288204626	undirected	CASC4	TET2
CASC4	USP34	0.0261782553051001	undirected	CASC4	USP34
CCDC125	DNAJC3	0.0346004744155748	undirected	CCDC125	DNAJC3
CCDC125	EVI2B	0.0255878316133267	undirected	CCDC125	EVI2B
CCDC125	JAK1	0.0209280924286792	undirected	CCDC125	JAK1
CCDC125	MYO9B	0.029324207503752	undirected	CCDC125	MYO9B
CCDC125	NPEPPS	0.0218660201120607	undirected	CCDC125	NPEPPS
CCDC125	PACS1	0.0349594435212738	undirected	CCDC125	PACS1
CCNK	DNAJC3	0.0538175324072333	undirected	CCNK	DNAJC3
CCNK	EP300	0.0270774508830894	undirected	CCNK	EP300
CCNK	EVI2B	0.0229412006457076	undirected	CCNK	EVI2B
CCNK	EXOC3	0.0237099412643177	undirected	CCNK	EXOC3
CCNK	FOXN2	0.0260324829372658	undirected	CCNK	FOXN2
CCNK	JAK1	0.0263268166008856	undirected	CCNK	JAK1
CCNK	MACF1	0.0293177229914294	undirected	CCNK	MACF1
CCNK	PACS1	0.0486931224178699	undirected	CCNK	PACS1
CCNK	PHF8	0.0460403445531256	undirected	CCNK	PHF8
CCNK	RNF213	0.0218340905023346	undirected	CCNK	RNF213
CCNK	SAFB	0.0351561883860619	undirected	CCNK	SAFB
CCNK	SETD2	0.0288654558969252	undirected	CCNK	SETD2
CCNK	TNRC6B	0.0212342667236156	undirected	CCNK	TNRC6B
CRBN	PDE7A	0.0294002018473916	undirected	CRBN	PDE7A
CRBN	ZNF800	0.0411614223055291	undirected	CRBN	ZNF800
DNAJC3	EP300	0.0416748039034911	undirected	DNAJC3	EP300
DNAJC3	EVI2B	0.0318405266437133	undirected	DNAJC3	EVI2B
DNAJC3	EXOC3	0.0434242918049037	undirected	DNAJC3	EXOC3
DNAJC3	FOXN2	0.0328805257409329	undirected	DNAJC3	FOXN2
