fromNode	toNode	weight	direction	fromAltName	toAltName
ABCC6	ACSM2B	0.0434231313421241	undirected	ABCC6	ACSM2B
ABCC6	ADH1C	0.0332479604433569	undirected	ABCC6	ADH1C
ABCC6	ALDH1L1	0.0231414804796561	undirected	ABCC6	ALDH1L1
ABCC6	ALDH4A1	0.0215925923784552	undirected	ABCC6	ALDH4A1
ABCC6	ALPI	0.0485885158260119	undirected	ABCC6	ALPI
ABCC6	APCS	0.0231027964924262	undirected	ABCC6	APCS
ABCC6	ASPG	0.0342172221618264	undirected	ABCC6	ASPG
ABCC6	C16orf82	0.021921342487882	undirected	ABCC6	C16orf82
ABCC6	C2orf66	0.0219561720783826	undirected	ABCC6	C2orf66
ABCC6	CALHM1	0.0207338051954902	undirected	ABCC6	CALHM1
ABCC6	CBLN3	0.0473405265720582	undirected	ABCC6	CBLN3
ABCC6	CDC42BPB	0.0384582795854427	undirected	ABCC6	CDC42BPB
ABCC6	CEND1	0.0468020987893805	undirected	ABCC6	CEND1
ABCC6	CFAP97	0.0355599418791847	undirected	ABCC6	NA
ABCC6	CHST4	0.0228250963304798	undirected	ABCC6	CHST4
ABCC6	CILP2	0.0228708706492239	undirected	ABCC6	CILP2
ABCC6	CNKSR2	0.0318586796031758	undirected	ABCC6	CNKSR2
ABCC6	COL12A1	0.0282746842275002	undirected	ABCC6	COL12A1
ABCC6	CORO2B	0.0345465322226945	undirected	ABCC6	CORO2B
ABCC6	DIO2	0.0225234033313654	undirected	ABCC6	DIO2
ABCC6	ELFN2	0.0290032088628343	undirected	ABCC6	ELFN2
ABCC6	FAM131B	0.0284143699084164	undirected	ABCC6	FAM131B
ABCC6	FAM138B	0.0346682474754914	undirected	ABCC6	FAM138B
ABCC6	FAM53B	0.0422640434739269	undirected	ABCC6	FAM53B
ABCC6	FBXO15	0.0514578777395854	undirected	ABCC6	FBXO15
ABCC6	FBXO8	0.0302773115245837	undirected	ABCC6	FBXO8
ABCC6	FCHSD1	0.0479485827308584	undirected	ABCC6	FCHSD1
ABCC6	GAL3ST2	0.0390143813578812	undirected	ABCC6	GAL3ST2
ABCC6	GALNT18	0.0225127294909202	undirected	ABCC6	NA
ABCC6	GCM1	0.0433009506649098	undirected	ABCC6	GCM1
ABCC6	GHRH	0.0504440031885358	undirected	ABCC6	GHRH
ABCC6	GRIK5	0.0429987967639166	undirected	ABCC6	GRIK5
ABCC6	HAAO	0.037021315991395	undirected	ABCC6	HAAO
ABCC6	HAGLR	0.0431020638260545	undirected	ABCC6	NA
ABCC6	HAPLN4	0.0612890258151377	undirected	ABCC6	HAPLN4
ABCC6	HBEGF	0.0364782547386353	undirected	ABCC6	HBEGF
ABCC6	HNF1A	0.0254913884066781	undirected	ABCC6	HNF1A
ABCC6	HRH2	0.028854603327217	undirected	ABCC6	HRH2
ABCC6	IFNB1	0.0312070374855792	undirected	ABCC6	IFNB1
ABCC6	IL17A	0.0484732581534105	undirected	ABCC6	IL17A
ABCC6	IL9R	0.0258049186881609	undirected	ABCC6	IL9R
ABCC6	INA	0.0381264928350257	undirected	ABCC6	INA
ABCC6	KIAA1755	0.0210913675861413	undirected	ABCC6	KIAA1755
ABCC6	KIF17	0.0473477208953208	undirected	ABCC6	KIF17
ABCC6	KIF26B	0.0204396960174713	undirected	ABCC6	KIF26B
ABCC6	KLC2	0.0568312544983148	undirected	ABCC6	KLC2
ABCC6	KLHL40	0.0437530724485723	undirected	ABCC6	NA
ABCC6	KRT15	0.0257052519105051	undirected	ABCC6	KRT15
ABCC6	KRT76	0.0515741072955739	undirected	ABCC6	KRT76
ABCC6	LCE2B	0.041852657511207	undirected	ABCC6	LCE2B
ABCC6	LCE3D	0.0600489974969672	undirected	ABCC6	LCE3D
ABCC6	LGI3	0.0581038931647618	undirected	ABCC6	LGI3
ABCC6	LINC01559	0.0274789901357	undirected	ABCC6	NA
ABCC6	LOC100288798	0.0201062753052261	undirected	ABCC6	NA
ABCC6	LOC654780	0.0426098122021685	undirected	ABCC6	LOC654780
ABCC6	LRRC41	0.0320504320700805	undirected	ABCC6	LRRC41
ABCC6	MAFF	0.0336091332530797	undirected	ABCC6	MAFF
ABCC6	MAP1A	0.0251247223586101	undirected	ABCC6	MAP1A
ABCC6	MAPT	0.0233099259232044	undirected	ABCC6	MAPT
ABCC6	MFGE8	0.0575332177001117	undirected	ABCC6	MFGE8
ABCC6	MMRN2	0.0677181348726492	undirected	ABCC6	MMRN2
ABCC6	MRPL45	0.0402296195112142	undirected	ABCC6	MRPL45
ABCC6	MS4A5	0.0233105616549734	undirected	ABCC6	MS4A5
ABCC6	MSI1	0.0265065209672454	undirected	ABCC6	MSI1
ABCC6	MT1JP	0.023810556369983	undirected	ABCC6	MT1JP
ABCC6	MYADM	0.0507335228590009	undirected	ABCC6	MYADM
ABCC6	NEK7	0.0230046218949849	undirected	ABCC6	NEK7
ABCC6	NKAIN1	0.0567705180767698	undirected	ABCC6	NKAIN1
ABCC6	NPC1L1	0.0217702693136778	undirected	ABCC6	NPC1L1
ABCC6	NR5A2	0.0202160474883629	undirected	ABCC6	NR5A2
ABCC6	NTSR1	0.0281742910329617	undirected	ABCC6	NTSR1
ABCC6	OR2H2	0.0280104240189913	undirected	ABCC6	OR2H2
ABCC6	OR4A15	0.0332289408924751	undirected	ABCC6	OR4A15
ABCC6	OR4X2	0.0447366775945196	undirected	ABCC6	OR4X2
ABCC6	OR6K2	0.0550308074479491	undirected	ABCC6	OR6K2
ABCC6	P2RY4	0.0265779598296315	undirected	ABCC6	P2RY4
ABCC6	PCGF2	0.0427345486444388	undirected	ABCC6	PCGF2
ABCC6	PFKFB2	0.032567883301127	undirected	ABCC6	PFKFB2
ABCC6	PIPOX	0.0613378517509257	undirected	ABCC6	PIPOX
ABCC6	PITX3	0.0310132469278542	undirected	ABCC6	PITX3
ABCC6	PNPLA5	0.0405860885278128	undirected	ABCC6	PNPLA5
ABCC6	PTCH2	0.0436318905409937	undirected	ABCC6	PTCH2
ABCC6	RND2	0.0230691676775444	undirected	ABCC6	RND2
ABCC6	RTN4RL2	0.0440403027142201	undirected	ABCC6	RTN4RL2
ABCC6	RXFP4	0.0283494130017103	undirected	ABCC6	RXFP4
ABCC6	S100A16	0.020920691301163	undirected	ABCC6	S100A16
ABCC6	SLC29A3	0.0652872487286984	undirected	ABCC6	SLC29A3
ABCC6	SLC35C1	0.0254685373628053	undirected	ABCC6	SLC35C1
ABCC6	SLC38A3	0.0229022990175023	undirected	ABCC6	SLC38A3
ABCC6	SLC6A17	0.0213594285859416	undirected	ABCC6	SLC6A17
ABCC6	SLC7A5	0.0277764380617389	undirected	ABCC6	SLC7A5
ABCC6	SPATA25	0.0359288831659679	undirected	ABCC6	NA
ABCC6	SPRR3	0.0273087450860927	undirected	ABCC6	SPRR3
ABCC6	SRC	0.0273364161285754	undirected	ABCC6	SRC
ABCC6	SWI5	0.0296994508519992	undirected	ABCC6	NA
ABCC6	TBX10	0.041520743402751	undirected	ABCC6	TBX10
ABCC6	TBXAS1	0.0508363845433727	undirected	ABCC6	TBXAS1
ABCC6	TEX37	0.0227843495248988	undirected	ABCC6	NA
ABCC6	TFR2	0.0322773724366512	undirected	ABCC6	TFR2
ABCC6	TMEM214	0.0620679175193708	undirected	ABCC6	TMEM214
ABCC6	TSACC	0.0423517215209048	undirected	ABCC6	NA
ABCC6	TTC21B	0.0220708949619451	undirected	ABCC6	TTC21B
ABCC6	UBAP1	0.0243102004435891	undirected	ABCC6	UBAP1
ABCC6	VN1R10P	0.0239346579401261	undirected	ABCC6	NA
ABCC6	ZNF496	0.0251132882903308	undirected	ABCC6	ZNF496
ABCC6	ZNF747	0.0214016772056419	undirected	ABCC6	ZNF747
ABCC9	CORO2B	0.0216828199734067	undirected	ABCC9	CORO2B
ABCC9	FCHSD1	0.0223987008356122	undirected	ABCC9	FCHSD1
ABCC9	GRIK5	0.0227225855933521	undirected	ABCC9	GRIK5
ABCC9	HAPLN4	0.0202823793161137	undirected	ABCC9	HAPLN4
ABCC9	KLC2	0.0232946213648234	undirected	ABCC9	KLC2
ABCC9	KRT76	0.0221460522692876	undirected	ABCC9	KRT76
ABCC9	MS4A5	0.0203223371980923	undirected	ABCC9	MS4A5
ABCC9	NKAIN1	0.0214907092562189	undirected	ABCC9	NKAIN1
ABCC9	OR4X2	0.0213107006659882	undirected	ABCC9	OR4X2
ABCC9	PDZD4	0.0201322043318637	undirected	ABCC9	PDZD4
ABCC9	PITX3	0.0203837794670177	undirected	ABCC9	PITX3
ABCC9	PNPLA5	0.0242531757924582	undirected	ABCC9	PNPLA5
ABCC9	RXFP4	0.0245972428952497	undirected	ABCC9	RXFP4
ABCC9	SERPINA9	0.0240938346124406	undirected	ABCC9	SERPINA9
ABCC9	SLC29A3	0.02180185259816	undirected	ABCC9	SLC29A3
ABCC9	ZSCAN22	0.0208773912818345	undirected	ABCC9	ZSCAN22
ABL1	ACSM2B	0.0201867157225846	undirected	ABL1	ACSM2B
ABL1	ADAM12	0.0219500805475473	undirected	ABL1	ADAM12
ABL1	ALDH1L1	0.0259163879738252	undirected	ABL1	ALDH1L1
ABL1	ALDH4A1	0.0208654739667898	undirected	ABL1	ALDH4A1
ABL1	ASB13	0.0381769081733052	undirected	ABL1	ASB13
ABL1	CORO2B	0.0244156886810326	undirected	ABL1	CORO2B
ABL1	FCHSD1	0.020720285384382	undirected	ABL1	FCHSD1
ABL1	GALNT18	0.0249252405787947	undirected	ABL1	NA
ABL1	GRIK5	0.0220972360961392	undirected	ABL1	GRIK5
ABL1	HAPLN4	0.0241025735464654	undirected	ABL1	HAPLN4
ABL1	HBEGF	0.0206809886916011	undirected	ABL1	HBEGF
ABL1	KIF26B	0.0217300054421735	undirected	ABL1	KIF26B
ABL1	KRT76	0.020910292901526	undirected	ABL1	KRT76
ABL1	MAPT	0.021217993868571	undirected	ABL1	MAPT
ABL1	MS4A5	0.0304591097965391	undirected	ABL1	MS4A5
ABL1	MT1JP	0.0200291174911331	undirected	ABL1	MT1JP
ABL1	MUT	0.0281261809274794	undirected	ABL1	MUT
ABL1	MYADM	0.023880377068326	undirected	ABL1	MYADM
ABL1	NKAIN1	0.0232570042344289	undirected	ABL1	NKAIN1
ABL1	OR2H2	0.0224044590381154	undirected	ABL1	OR2H2
ABL1	OR4X2	0.0214257123546178	undirected	ABL1	OR4X2
ABL1	PDZD4	0.0229753679734743	undirected	ABL1	PDZD4
ABL1	PI4K2A	0.0239650189567234	undirected	ABL1	PI4K2A
ABL1	RHEBL1	0.0211244644883698	undirected	ABL1	RHEBL1
ABL1	RXFP4	0.0288308062025182	undirected	ABL1	RXFP4
ABL1	SLC35C1	0.0241166519903439	undirected	ABL1	SLC35C1
ABL1	SLC7A5	0.0225849112125549	undirected	ABL1	SLC7A5
ABL1	SPATA25	0.0233420545313813	undirected	ABL1	NA
ABL1	TFR2	0.040008791452987	undirected	ABL1	TFR2
ABL1	ZSCAN22	0.0228480076707009	undirected	ABL1	ZSCAN22
ACACA	ACSM2B	0.0413347683818309	undirected	ACACA	ACSM2B
ACACA	ALDH4A1	0.0320849272673458	undirected	ACACA	ALDH4A1
ACACA	ASB13	0.0454931551412044	undirected	ACACA	ASB13
ACACA	ASPG	0.0233538320634095	undirected	ACACA	ASPG
ACACA	CDC42BPB	0.0264199452719668	undirected	ACACA	CDC42BPB
ACACA	CFAP97	0.0333980122247647	undirected	ACACA	NA
ACACA	FAM131B	0.0387241891147239	undirected	ACACA	FAM131B
ACACA	FAM53B	0.024410461576698	undirected	ACACA	FAM53B
ACACA	FBXO15	0.0225525560528641	undirected	ACACA	FBXO15
ACACA	FCHSD1	0.0226743976165115	undirected	ACACA	FCHSD1
ACACA	GALNT18	0.023347227806166	undirected	ACACA	NA
ACACA	GCM1	0.0386668550787516	undirected	ACACA	GCM1
ACACA	HAPLN4	0.0367591117373534	undirected	ACACA	HAPLN4
ACACA	HBEGF	0.0259183528156762	undirected	ACACA	HBEGF
ACACA	HNF1A	0.0270970540879619	undirected	ACACA	HNF1A
ACACA	IFNB1	0.0223696017189965	undirected	ACACA	IFNB1
ACACA	KIF17	0.0258458467620415	undirected	ACACA	KIF17
ACACA	KRT76	0.0233099379206232	undirected	ACACA	KRT76
ACACA	LCE3D	0.0222519371193468	undirected	ACACA	LCE3D
ACACA	LGI3	0.0200800013546483	undirected	ACACA	LGI3
ACACA	LINC02223	0.0218650491160994	undirected	ACACA	NA
ACACA	LOC654780	0.0379309881391554	undirected	ACACA	LOC654780
ACACA	MAPT	0.0402883348742709	undirected	ACACA	MAPT
ACACA	METTL22	0.0201600831995403	undirected	ACACA	NA
ACACA	MMRN2	0.0218291612225997	undirected	ACACA	MMRN2
ACACA	MSI1	0.020736877399176	undirected	ACACA	MSI1
ACACA	MUT	0.0206825254009241	undirected	ACACA	MUT
ACACA	MYADM	0.0271626081625923	undirected	ACACA	MYADM
ACACA	NKAIN1	0.0465194019645729	undirected	ACACA	NKAIN1
ACACA	NR5A2	0.0210058516767718	undirected	ACACA	NR5A2
ACACA	OR4A15	0.0275425741561136	undirected	ACACA	OR4A15
ACACA	PDZD4	0.0201597092706569	undirected	ACACA	PDZD4
ACACA	PI4K2A	0.0290805877707662	undirected	ACACA	PI4K2A
ACACA	PIPOX	0.0203493744137997	undirected	ACACA	PIPOX
ACACA	PNPLA5	0.0202914816531063	undirected	ACACA	PNPLA5
ACACA	SLC25A26	0.0314985734590569	undirected	ACACA	SLC25A26
ACACA	SLC29A3	0.0255567990737394	undirected	ACACA	SLC29A3
ACACA	SLC35C1	0.0358168797095493	undirected	ACACA	SLC35C1
ACACA	SLC7A5	0.0209614427781707	undirected	ACACA	SLC7A5
ACACA	SPATA25	0.0244237910273278	undirected	ACACA	NA
ACACA	SRC	0.0213638353444235	undirected	ACACA	SRC
ACACA	TFR2	0.0254995061177574	undirected	ACACA	TFR2
ACACA	VN1R10P	0.0254221606986302	undirected	ACACA	NA
ACACA	XPR1	0.0279958947507991	undirected	ACACA	XPR1
ACACA	ZNF496	0.0235362466034509	undirected	ACACA	ZNF496
ACSM2B	ACTG2	0.0454316709862362	undirected	ACSM2B	ACTG2
ACSM2B	ACTR3B	0.0506749088744964	undirected	ACSM2B	ACTR3B
ACSM2B	ADAD1	0.0378263351957496	undirected	ACSM2B	ADAD1
ACSM2B	ADAM12	0.0237847850928998	undirected	ACSM2B	ADAM12
ACSM2B	ADAM7	0.0450427343468875	undirected	ACSM2B	ADAM7
ACSM2B	ADGRL1	0.0366398899201033	undirected	ACSM2B	NA
ACSM2B	ADH1A	0.0249882215626508	undirected	ACSM2B	ADH1A
ACSM2B	ADH1C	0.0546728800962211	undirected	ACSM2B	ADH1C
ACSM2B	ADIPOQ	0.0313053137695534	undirected	ACSM2B	ADIPOQ
ACSM2B	ALDH1L1	0.0431201201282769	undirected	ACSM2B	ALDH1L1
ACSM2B	ALDH4A1	0.0448833175731369	undirected	ACSM2B	ALDH4A1
ACSM2B	ALKBH8	0.0245536539293277	undirected	ACSM2B	ALKBH8
ACSM2B	ALPI	0.0539471629480974	undirected	ACSM2B	ALPI
ACSM2B	ALX3	0.0472975645010577	undirected	ACSM2B	ALX3
ACSM2B	ANKRD20A2	0.0203055307005818	undirected	ACSM2B	ANKRD20A2
ACSM2B	APCS	0.0450448838045016	undirected	ACSM2B	APCS
ACSM2B	APLP1	0.0636458388161258	undirected	ACSM2B	APLP1
ACSM2B	AQP10	0.0422958220799449	undirected	ACSM2B	AQP10
ACSM2B	ARHGDIG	0.0462837168964177	undirected	ACSM2B	ARHGDIG
ACSM2B	ARHGEF26	0.0280432775062349	undirected	ACSM2B	NA
ACSM2B	ARR3	0.0297489884533483	undirected	ACSM2B	ARR3
ACSM2B	ART1	0.046364411857613	undirected	ACSM2B	ART1
ACSM2B	ASB13	0.0410692622000592	undirected	ACSM2B	ASB13
ACSM2B	ASCL3	0.0361253086191444	undirected	ACSM2B	ASCL3
ACSM2B	ASPG	0.0573542385164401	undirected	ACSM2B	ASPG
ACSM2B	ATG9B	0.0221826496823883	undirected	ACSM2B	ATG9B
ACSM2B	ATOH8	0.0453973900304192	undirected	ACSM2B	ATOH8
ACSM2B	ATOX1	0.0210877891149599	undirected	ACSM2B	ATOX1
ACSM2B	ATP8A1	0.0547839630634471	undirected	ACSM2B	ATP8A1
ACSM2B	B3GALT2	0.0504778398965755	undirected	ACSM2B	B3GALT2
ACSM2B	B3GNT4	0.0212539836054001	undirected	ACSM2B	B3GNT4
ACSM2B	BAIAP2	0.0294410818121503	undirected	ACSM2B	BAIAP2
ACSM2B	BICC1	0.0230797877996993	undirected	ACSM2B	BICC1
ACSM2B	BRS3	0.0458540623784918	undirected	ACSM2B	BRS3
ACSM2B	BTBD16	0.0666437558459188	undirected	ACSM2B	BTBD16
ACSM2B	C11orf16	0.0247333402814611	undirected	ACSM2B	C11orf16
ACSM2B	C16orf82	0.0501120722200946	undirected	ACSM2B	C16orf82
ACSM2B	C1orf106	0.0329598975668047	undirected	ACSM2B	C1orf106
ACSM2B	C2	0.0330194054882144	undirected	ACSM2B	C2
ACSM2B	C2orf66	0.0459181586730064	undirected	ACSM2B	C2orf66
ACSM2B	C8orf34	0.0326044727873986	undirected	ACSM2B	C8orf34
ACSM2B	CA7	0.0370086296730771	undirected	ACSM2B	CA7
ACSM2B	CACNA1H	0.0419135593547462	undirected	ACSM2B	CACNA1H
ACSM2B	CACNG1	0.0370348203534069	undirected	ACSM2B	CACNG1
ACSM2B	CACNG7	0.0200631530102716	undirected	ACSM2B	CACNG7
ACSM2B	CADPS	0.0314942403922406	undirected	ACSM2B	CADPS
ACSM2B	CADPS2	0.0362456898948726	undirected	ACSM2B	CADPS2
ACSM2B	CALHM1	0.0641023025850993	undirected	ACSM2B	CALHM1
ACSM2B	CALR3	0.0670511767745052	undirected	ACSM2B	CALR3
ACSM2B	CAMK2A	0.0390667915273387	undirected	ACSM2B	CAMK2A
ACSM2B	CAPN5	0.0406478515094659	undirected	ACSM2B	CAPN5
ACSM2B	CBARP	0.0647442910016808	undirected	ACSM2B	NA
ACSM2B	CBLN3	0.0545461866550467	undirected	ACSM2B	CBLN3
ACSM2B	CCK	0.0248325580302156	undirected	ACSM2B	CCK
ACSM2B	CCL17	0.0356605310254308	undirected	ACSM2B	CCL17
ACSM2B	CD207	0.0367751863351714	undirected	ACSM2B	CD207
ACSM2B	CD248	0.0487542472463008	undirected	ACSM2B	CD248
ACSM2B	CDC42BPB	0.0741284823063297	undirected	ACSM2B	CDC42BPB
ACSM2B	CDH12	0.0389952316956498	undirected	ACSM2B	CDH12
ACSM2B	CDH7	0.0780966347745291	undirected	ACSM2B	CDH7
ACSM2B	CELF4	0.0405870569130309	undirected	ACSM2B	NA
ACSM2B	CEND1	0.0563843733660336	undirected	ACSM2B	CEND1
ACSM2B	CFAP46	0.0538738780586829	undirected	ACSM2B	NA
ACSM2B	CFAP97	0.070207715955909	undirected	ACSM2B	NA
ACSM2B	CHRDL2	0.0393859343200204	undirected	ACSM2B	CHRDL2
ACSM2B	CHRNB3	0.0509959624293277	undirected	ACSM2B	CHRNB3
ACSM2B	CHST4	0.0451912606975714	undirected	ACSM2B	CHST4
ACSM2B	CILP2	0.0667319365164714	undirected	ACSM2B	CILP2
ACSM2B	CLCN6	0.048355043978747	undirected	ACSM2B	CLCN6
ACSM2B	CLSTN2	0.0579015416954282	undirected	ACSM2B	CLSTN2
ACSM2B	CNKSR2	0.0592190789651309	undirected	ACSM2B	CNKSR2
ACSM2B	COBL	0.0202297134000926	undirected	ACSM2B	COBL
ACSM2B	COL12A1	0.0539359566808506	undirected	ACSM2B	COL12A1
ACSM2B	COL1A1	0.0376974265033636	undirected	ACSM2B	COL1A1
ACSM2B	COL20A1	0.0209593539327914	undirected	ACSM2B	COL20A1
ACSM2B	COL27A1	0.0348936201868293	undirected	ACSM2B	COL27A1
ACSM2B	CORIN	0.0397537694250536	undirected	ACSM2B	CORIN
ACSM2B	CORO2B	0.044201146083745	undirected	ACSM2B	CORO2B
ACSM2B	CREG2	0.0230480399547103	undirected	ACSM2B	CREG2
ACSM2B	CROCCP3	0.0408248666701019	undirected	ACSM2B	NA
ACSM2B	CSF1	0.0385231514230265	undirected	ACSM2B	CSF1
ACSM2B	CSH1	0.0470794432611286	undirected	ACSM2B	CSH1
ACSM2B	CTHRC1	0.0267064781785696	undirected	ACSM2B	CTHRC1
ACSM2B	CYP11B1	0.0211341709215231	undirected	ACSM2B	CYP11B1
ACSM2B	CYP27B1	0.0378517732067815	undirected	ACSM2B	CYP27B1
ACSM2B	CYP2A13	0.0390691967147943	undirected	ACSM2B	CYP2A13
ACSM2B	CYP7A1	0.0488287593562454	undirected	ACSM2B	CYP7A1
ACSM2B	DAB2IP	0.0415339335056015	undirected	ACSM2B	DAB2IP
ACSM2B	DDIT4L	0.0450983601119728	undirected	ACSM2B	DDIT4L
ACSM2B	DDO	0.0238349870946015	undirected	ACSM2B	DDO
ACSM2B	DEC1	0.0383091954429807	undirected	ACSM2B	NA
ACSM2B	DEFB123	0.0221121641564185	undirected	ACSM2B	DEFB123
ACSM2B	DEFB129	0.0277571230277005	undirected	ACSM2B	DEFB129
ACSM2B	DHCR24	0.0274838036030365	undirected	ACSM2B	DHCR24
ACSM2B	DHTKD1	0.0281360270636248	undirected	ACSM2B	DHTKD1
ACSM2B	DIAPH3	0.045359102700663	undirected	ACSM2B	DIAPH3
ACSM2B	DIO1	0.0293092822686816	undirected	ACSM2B	DIO1
ACSM2B	DIO2	0.0486593846287716	undirected	ACSM2B	DIO2
ACSM2B	DLG2	0.0409838000019646	undirected	ACSM2B	DLG2
ACSM2B	DMBX1	0.0330455682668336	undirected	ACSM2B	DMBX1
ACSM2B	DNAJB3	0.0570891106615068	undirected	ACSM2B	DNAJB3
ACSM2B	DOC2A	0.0231634655520622	undirected	ACSM2B	DOC2A
ACSM2B	DOK5	0.03697818878217	undirected	ACSM2B	DOK5
ACSM2B	DOPEY2	0.0248304361704892	undirected	ACSM2B	DOPEY2
ACSM2B	DSCAM	0.0304701854948346	undirected	ACSM2B	DSCAM
ACSM2B	EDDM3B	0.028280273237003	undirected	ACSM2B	NA
ACSM2B	EGFLAM	0.042639483995919	undirected	ACSM2B	EGFLAM
ACSM2B	ELFN2	0.0558802572616377	undirected	ACSM2B	ELFN2
ACSM2B	EPHA5.AS1	0.0388744866945591	undirected	ACSM2B	NA
ACSM2B	ERN1	0.0206789506989723	undirected	ACSM2B	ERN1
ACSM2B	ERP44	0.0269171445431156	undirected	ACSM2B	NA
ACSM2B	ESM1	0.0274629762420475	undirected	ACSM2B	ESM1
ACSM2B	ESPL1	0.0485280665496147	undirected	ACSM2B	ESPL1
ACSM2B	EXTL1	0.0387001361049396	undirected	ACSM2B	EXTL1
ACSM2B	EYA2	0.0260790512440396	undirected	ACSM2B	EYA2
ACSM2B	FAM131B	0.0634417392114955	undirected	ACSM2B	FAM131B
ACSM2B	FAM138B	0.0372075870289345	undirected	ACSM2B	FAM138B
ACSM2B	FAM53B	0.0705927508133097	undirected	ACSM2B	FAM53B
ACSM2B	FAM57A	0.0490231678298695	undirected	ACSM2B	FAM57A
ACSM2B	FAM74A4	0.0477779598552772	undirected	ACSM2B	NA
ACSM2B	FANCL	0.0353217169098934	undirected	ACSM2B	FANCL
ACSM2B	FBXO15	0.0626979383403824	undirected	ACSM2B	FBXO15
ACSM2B	FBXO8	0.0582859599991574	undirected	ACSM2B	FBXO8
ACSM2B	FCHSD1	0.0581440744300007	undirected	ACSM2B	FCHSD1
ACSM2B	FGF16	0.0406372846375929	undirected	ACSM2B	FGF16
ACSM2B	FH	0.0210128385483904	undirected	ACSM2B	FH
ACSM2B	FILNC1	0.0830559294916715	undirected	ACSM2B	NA
ACSM2B	FMO3	0.0396020268235758	undirected	ACSM2B	FMO3
ACSM2B	FNDC9	0.0236524394034179	undirected	ACSM2B	NA
ACSM2B	FOLR2	0.053156486897916	undirected	ACSM2B	FOLR2
ACSM2B	FOXE3	0.0286834592242314	undirected	ACSM2B	FOXE3
ACSM2B	FOXG1	0.0342619177062713	undirected	ACSM2B	FOXG1
ACSM2B	FOXK2	0.0348586326132431	undirected	ACSM2B	FOXK2
ACSM2B	FRG2	0.032585336753565	undirected	ACSM2B	FRG2
ACSM2B	FXYD2	0.0345214903317668	undirected	ACSM2B	FXYD2
ACSM2B	GABRA1	0.0553452915883949	undirected	ACSM2B	GABRA1
ACSM2B	GAL3ST2	0.0537142017877993	undirected	ACSM2B	GAL3ST2
ACSM2B	GAL3ST4	0.0348173748958402	undirected	ACSM2B	GAL3ST4
ACSM2B	GALNT18	0.0472581688825791	undirected	ACSM2B	NA
ACSM2B	GCM1	0.079471442911577	undirected	ACSM2B	GCM1
ACSM2B	GHRH	0.0542656299835922	undirected	ACSM2B	GHRH
ACSM2B	GJA9	0.0203323288162509	undirected	ACSM2B	GJA9
ACSM2B	GJB2	0.021889528328033	undirected	ACSM2B	GJB2
ACSM2B	GJC3	0.046734257144025	undirected	ACSM2B	GJC3
ACSM2B	GPHN	0.0596088855189248	undirected	ACSM2B	GPHN
ACSM2B	GPR50	0.0225726550424771	undirected	ACSM2B	GPR50
ACSM2B	GPR55	0.0459519121293992	undirected	ACSM2B	GPR55
ACSM2B	GPR68	0.0451728151263249	undirected	ACSM2B	GPR68
ACSM2B	GRIK5	0.0527912802386573	undirected	ACSM2B	GRIK5
ACSM2B	GTDC1	0.0518789814437098	undirected	ACSM2B	GTDC1
ACSM2B	HAAO	0.0616861778575198	undirected	ACSM2B	HAAO
ACSM2B	HABP2	0.0214297300658617	undirected	ACSM2B	HABP2
ACSM2B	HACD1	0.0297692935057811	undirected	ACSM2B	NA
ACSM2B	HAGLR	0.0526382538533154	undirected	ACSM2B	NA
ACSM2B	HAPLN4	0.0629346287790278	undirected	ACSM2B	HAPLN4
ACSM2B	HAS1	0.0303880910511172	undirected	ACSM2B	HAS1
ACSM2B	HBEGF	0.0590668861308177	undirected	ACSM2B	HBEGF
ACSM2B	HCG4B	0.0388795330843252	undirected	ACSM2B	NA
ACSM2B	HHIPL1	0.0393465619133199	undirected	ACSM2B	HHIPL1
ACSM2B	HIC2	0.0232868505676649	undirected	ACSM2B	HIC2
ACSM2B	HIST2H2BF	0.0322680340332708	undirected	ACSM2B	NA
ACSM2B	HMGCLL1	0.0665288138110915	undirected	ACSM2B	HMGCLL1
ACSM2B	HNF1A	0.0486232552674338	undirected	ACSM2B	HNF1A
ACSM2B	HOXB9	0.0218626409167683	undirected	ACSM2B	HOXB9
