nodeName	altName	nodeAttr[nodesPresent, ]
ABHD3	ABHD3	black
ACSL1	ACSL1	black
ADAM8	ADAM8	black
ADCY4	ADCY4	black
ADM	ADM	black
AGFG1	AGFG1	black
AIDA	AIDA	black
AKTIP	AKTIP	black
APTR	NA	black
AQP9	AQP9	black
ARHGEF40	NA	black
ASAH1	ASAH1	black
ASPH	ASPH	black
ATRX	ATRX	black
BASP1	BASP1	black
BCORL1	BCORL1	black
BMX	BMX	black
BTBD10	BTBD10	black
BZW1	BZW1	black
C4orf3	C4orf3	black
C7orf25	C7orf25	black
CARD8	CARD8	black
CARS2	CARS2	black
CBS	CBS	black
CCDC17	CCDC17	black
CCNDBP1	CCNDBP1	black
CD46	CD46	black
CD55	CD55	black
CD59	CD59	black
CDS2	CDS2	black
CEACAM4	CEACAM4	black
CFLAR	CFLAR	black
CHIC2	CHIC2	black
CHMP1B	CHMP1B	black
CHRNA10	CHRNA10	black
CNEP1R1	NA	black
CORO1C	CORO1C	black
CPD	CPD	black
CREBBP	CREBBP	black
CSNK1A1	CSNK1A1	black
CTBS	CTBS	black
CTDSP2	CTDSP2	black
CXCR2	NA	black
CYB5R4	CYB5R4	black
CYLD	CYLD	black
CYSTM1	NA	black
DAZAP2	DAZAP2	black
DENND3	DENND3	black
DNAH17	DNAH17	black
DNAJB6	DNAJB6	black
DOCK8	DOCK8	black
DSCR3	DSCR3	black
DTX3L	DTX3L	black
DUSP1	DUSP1	black
EDEM1	EDEM1	black
EFHD2	EFHD2	black
ENTPD1	ENTPD1	black
ERLIN1	ERLIN1	black
ERO1A	NA	black
ETS2	ETS2	black
F5	F5	black
FAM45BP	NA	black
FBXL4	FBXL4	black
FCAR	FCAR	black
FEM1C	FEM1C	black
FKBP5	FKBP5	black
FKBP9	FKBP9	black
FNDC3B	FNDC3B	black
GADD45A	GADD45A	black
GMCL1	GMCL1	black
GMFB	GMFB	black
GMPR2	GMPR2	black
GNA13	GNA13	black
GPAT3	NA	black
GPR160	GPR160	black
GRB10	GRB10	black
GSK3A	GSK3A	black
HAL	HAL	black
HECW2	HECW2	black
HIPK3	HIPK3	black
HNRNPLL	NA	black
HSDL2	HSDL2	black
IL13RA1	IL13RA1	black
IL1R1	IL1R1	black
INHBB	INHBB	black
INPP5A	INPP5A	black
IRAK3	IRAK3	black
ITGAM	ITGAM	black
ITGAX	ITGAX	black
JPT1	NA	black
KBTBD2	KBTBD2	black
KCNE1	KCNE1	black
KCNJ15	KCNJ15	black
KCNJ2	KCNJ2	black
KCNJ2.AS1	NA	black
KCTD18	KCTD18	black
KLHL12	KLHL12	black
KLHL21	KLHL21	black
KLHL8	KLHL8	black
LIMK2	LIMK2	black
LINC00968	NA	black
LOC100422526	NA	black
MAK	MAK	black
MAML1	MAML1	black
MANSC1	MANSC1	black
MAP4K4	MAP4K4	black
MAPK1	MAPK1	black
MAPK9	MAPK9	black
MAPKBP1	MAPKBP1	black
MAT2B	MAT2B	black
MCEMP1	NA	black
MCTP1	MCTP1	black
MFSD14B	NA	black
MGAM	MGAM	black
MGRN1	MGRN1	black
MMP9	MMP9	black
MOB1A	NA	black
MPZL1	MPZL1	black
MRPL12	MRPL12	black
MTHFS	MTHFS	black
MTMR3	MTMR3	black
MTMR6	MTMR6	black
MYO1F	MYO1F	black
NAMPT	NAMPT	black
NFAM1	NFAM1	black
NFKBIA	NFKBIA	black
NLGN3	NLGN3	black
NLRX1	NLRX1	black
NSUN7	NSUN7	black
NUDT16	NUDT16	black
