nodeName	altName	nodeAttr[nodesPresent, ]
AAK1	AAK1	blue
AANAT	AANAT	blue
AARS2	AARS2	blue
ABCC10	ABCC10	blue
ABCC6	ABCC6	blue
ABCC9	ABCC9	blue
ABCD2	ABCD2	blue
ABCG5	ABCG5	blue
ABHD13	ABHD13	blue
ABI2	ABI2	blue
ABL1	ABL1	blue
ACAN	ACAN	blue
ACER1	ACER1	blue
ACOT12	ACOT12	blue
ACP4	NA	blue
ACSM2B	ACSM2B	blue
ACTC1	ACTC1	blue
ACTG2	ACTG2	blue
ACTR3B	ACTR3B	blue
ACTR5	ACTR5	blue
ACTRT2	ACTRT2	blue
ACVR1B	ACVR1B	blue
ADA2	NA	blue
ADAD1	ADAD1	blue
ADAD2	ADAD2	blue
ADAM12	ADAM12	blue
ADAM21	ADAM21	blue
ADAM33	ADAM33	blue
ADAM7	ADAM7	blue
ADAMTS14	ADAMTS14	blue
ADAMTS2	ADAMTS2	blue
ADAMTS9.AS2	NA	blue
ADAMTSL3	ADAMTSL3	blue
ADARB2.AS1	NA	blue
ADAT3	ADAT3	blue
ADCYAP1R1	ADCYAP1R1	blue
ADGRB1	NA	blue
ADGRB3	NA	blue
ADGRL1	NA	blue
ADH1A	ADH1A	blue
ADH1C	ADH1C	blue
ADIPOQ	ADIPOQ	blue
ADM5	NA	blue
ADORA2A.AS1	NA	blue
ADRB3	ADRB3	blue
AFF2	AFF2	blue
AGPS	AGPS	blue
AGRN	AGRN	blue
AGTR1	AGTR1	blue
AHDC1	AHDC1	blue
AK9	NA	blue
ALDH1L1	ALDH1L1	blue
ALDH4A1	ALDH4A1	blue
ALG3	ALG3	blue
ALKBH8	ALKBH8	blue
ALOX15	ALOX15	blue
ALOXE3	ALOXE3	blue
ALPI	ALPI	blue
ALPK3	ALPK3	blue
ALS2	ALS2	blue
ALS2CL	ALS2CL	blue
ALX3	ALX3	blue
AMER3	NA	blue
AMH	AMH	blue
ANKRA2	ANKRA2	blue
ANKRD11	ANKRD11	blue
ANKRD18A	ANKRD18A	blue
ANKRD20A2	ANKRD20A2	blue
ANKRD29	ANKRD29	blue
ANKRD49	ANKRD49	blue
ANKRD7	ANKRD7	blue
ANXA8L1	NA	blue
AOC2	AOC2	blue
AOX1	AOX1	blue
APBB1	APBB1	blue
APCS	APCS	blue
APLF	APLF	blue
APLN	APLN	blue
APLP1	APLP1	blue
APOA4	APOA4	blue
APOE	APOE	blue
AQP10	AQP10	blue
AQP2	AQP2	blue
AQP7	AQP7	blue
AQP8	AQP8	blue
ARHGDIG	ARHGDIG	blue
ARHGEF15	ARHGEF15	blue
ARHGEF16	ARHGEF16	blue
ARHGEF26	NA	blue
ARHGEF28	NA	blue
ARID5A	ARID5A	blue
ARID5B	ARID5B	blue
ARIH2OS	NA	blue
ARL4D	ARL4D	blue
ARMT1	NA	blue
ARR3	ARR3	blue
ARSD	ARSD	blue
ART1	ART1	blue
ARV1	ARV1	blue
ASB10	ASB10	blue
ASB12	ASB12	blue
ASB4	ASB4	blue
ASCL3	ASCL3	blue
ASF1B	ASF1B	blue
ASPG	ASPG	blue
ATG10	ATG10	blue
ATG2B	ATG2B	blue
ATG9B	ATG9B	blue
ATOH8	ATOH8	blue
ATP12A	ATP12A	blue
ATP1B2	ATP1B2	blue
ATP2B3	ATP2B3	blue
ATP4A	ATP4A	blue
ATP8A1	ATP8A1	blue
ATRN	ATRN	blue
AVPR1B	AVPR1B	blue
AVPR2	AVPR2	blue
AZGP1	AZGP1	blue
B3GALT2	B3GALT2	blue
B3GNT6	B3GNT6	blue
B4GALNT1	B4GALNT1	blue
B4GALNT3	B4GALNT3	blue
B4GALT2	B4GALT2	blue
B9D1	B9D1	blue
BAIAP2	BAIAP2	blue
BAZ1A	BAZ1A	blue
BCAT1	BCAT1	blue
BCL2L15	BCL2L15	blue
BCO2	BCO2	blue
BEND4	BEND4	blue
BEST2	BEST2	blue
BIN1	BIN1	blue
BIRC7	BIRC7	blue
BMP5	BMP5	blue
BMP7	BMP7	blue
BMP8A	BMP8A	blue
BMS1	BMS1	blue
BORCS8	NA	blue
BPIFB4	NA	blue
BRF1	BRF1	blue
BRMS1L	BRMS1L	blue
BRS3	BRS3	blue
BRSK2	BRSK2	blue
BTBD16	BTBD16	blue
BTBD7	BTBD7	blue
C10orf76	C10orf76	blue
C11orf16	C11orf16	blue
C11orf40	C11orf40	blue
C11orf42	C11orf42	blue
C11orf68	C11orf68	blue
C11orf72	NA	blue
C12orf10	C12orf10	blue
C16orf71	C16orf71	blue
C16orf82	C16orf82	blue
C16orf92	NA	blue
C17orf50	C17orf50	blue
C17orf77	C17orf77	blue
C19orf44	C19orf44	blue
C1orf106	C1orf106	blue
C1orf112	C1orf112	blue
C1orf116	C1orf116	blue
C1orf210	C1orf210	blue
C1orf216	C1orf216	blue
C1QC	C1QC	blue
C1QTNF5	C1QTNF5	blue
C1QTNF7	C1QTNF7	blue
C2orf66	C2orf66	blue
C2orf72	C2orf72	blue
C5orf60	NA	blue
C8orf34	C8orf34	blue
C9orf50	C9orf50	blue
CA7	CA7	blue
CACNA1A	CACNA1A	blue
CACNA1F	CACNA1F	blue
CACNA1G	CACNA1G	blue
CACNA1H	CACNA1H	blue
CACNG1	CACNG1	blue
CACNG7	CACNG7	blue
CADM2	CADM2	blue
CADPS	CADPS	blue
CADPS2	CADPS2	blue
CALHM1	CALHM1	blue
CALM3	CALM3	blue
CALML4	CALML4	blue
CALR3	CALR3	blue
CAMK2A	CAMK2A	blue
CAMSAP2	NA	blue
CAPN5	CAPN5	blue
CASP12	CASP12	blue
CASQ1	CASQ1	blue
CATSPERG	NA	blue
CAV1	CAV1	blue
CAV2	CAV2	blue
CAVIN3	NA	blue
CBARP	NA	blue
CBLN3	CBLN3	blue
CBWD2	CBWD2	blue
CCAT1	NA	blue
CCDC177	NA	blue
CCDC26	CCDC26	blue
CCDC57	CCDC57	blue
CCDC8	CCDC8	blue
CCDC90B	CCDC90B	blue
CCDC96	CCDC96	blue
CCK	CCK	blue
CCL17	CCL17	blue
CCNO	CCNO	blue
CCNT1	CCNT1	blue
CD207	CD207	blue
CD244	CD244	blue
CD248	CD248	blue
CD80	CD80	blue
CDC20	CDC20	blue
CDC42BPB	CDC42BPB	blue
CDC42BPG	CDC42BPG	blue
CDC45	NA	blue
CDCP1	CDCP1	blue
CDH12	CDH12	blue
CDH15	CDH15	blue
CDH7	CDH7	blue
CDHR4	NA	blue
CDHR5	NA	blue
CDK15	NA	blue
CDKN1A	CDKN1A	blue
CDR2L	CDR2L	blue
CDX1	CDX1	blue
CEACAM1	CEACAM1	blue
CEACAM19	CEACAM19	blue
CEACAM5	CEACAM5	blue
CELA1	NA	blue
CELA2B	NA	blue
CELF4	NA	blue
CEND1	CEND1	blue
CENPQ	CENPQ	blue
CEP170	CEP170	blue
CEP44	NA	blue
CFAP46	NA	blue
CFAP97	NA	blue
CFC1	CFC1	blue
CGB2	CGB2	blue
CGB3	NA	blue
CGN	CGN	blue
CH17.340M24.3	NA	blue
