nodeName	altName	nodeAttr[nodesPresent, ]
AAK1	AAK1	brown
AANAT	AANAT	brown
AARS2	AARS2	brown
ABCC10	ABCC10	brown
ABCG5	ABCG5	brown
ABI2	ABI2	brown
ACADSB	ACADSB	brown
ACAN	ACAN	brown
ACER1	ACER1	brown
ACHE	ACHE	brown
ACOT12	ACOT12	brown
ACP4	NA	brown
ACTC1	ACTC1	brown
ACTR3C	NA	brown
ACTR5	ACTR5	brown
ACTRT2	ACTRT2	brown
ACVR1B	ACVR1B	brown
ADAD2	ADAD2	brown
ADAM21	ADAM21	brown
ADAM33	ADAM33	brown
ADAMTS2	ADAMTS2	brown
ADAMTSL2	ADAMTSL2	brown
ADARB2.AS1	NA	brown
ADAT3	ADAT3	brown
ADCY1	ADCY1	brown
ADCYAP1R1	ADCYAP1R1	brown
ADGRB1	NA	brown
ADM5	NA	brown
ADORA2A.AS1	NA	brown
ADRB3	ADRB3	brown
AGRN	AGRN	brown
AGTR1	AGTR1	brown
AHDC1	AHDC1	brown
AIFM2	AIFM2	brown
AK9	NA	brown
ALG3	ALG3	brown
ALOX15	ALOX15	brown
ALOXE3	ALOXE3	brown
ALS2CL	ALS2CL	brown
AMER2	NA	brown
AMH	AMH	brown
ANKRD11	ANKRD11	brown
ANKRD18A	ANKRD18A	brown
ANKRD49	ANKRD49	brown
ANKRD53	ANKRD53	brown
ANKRD7	ANKRD7	brown
ANXA8L1	NA	brown
APC2	APC2	brown
APLF	APLF	brown
APLN	APLN	brown
APOA4	APOA4	brown
APOE	APOE	brown
AQP2	AQP2	brown
AQP7	AQP7	brown
AQP8	AQP8	brown
ARHGEF15	ARHGEF15	brown
ARHGEF16	ARHGEF16	brown
ARID5B	ARID5B	brown
ARL14EP	NA	brown
ARL4D	ARL4D	brown
ARMT1	NA	brown
ARSD	ARSD	brown
ARV1	ARV1	brown
ASB10	ASB10	brown
ASB16.AS1	NA	brown
ASB4	ASB4	brown
ASF1B	ASF1B	brown
ASTN1	ASTN1	brown
ATAD2	ATAD2	brown
ATP11C	ATP11C	brown
ATP12A	ATP12A	brown
ATP1B2	ATP1B2	brown
ATP4A	ATP4A	brown
ATRN	ATRN	brown
AVPR1B	AVPR1B	brown
AVPR2	AVPR2	brown
AZI2	AZI2	brown
B3GNT6	B3GNT6	brown
B4GALNT1	B4GALNT1	brown
B4GALT2	B4GALT2	brown
B9D1	B9D1	brown
BAZ1A	BAZ1A	brown
BCAT1	BCAT1	brown
BCO2	BCO2	brown
BEST2	BEST2	brown
BHLHE22	BHLHE22	brown
BIN1	BIN1	brown
BMP5	BMP5	brown
BMP7	BMP7	brown
BORCS8	NA	brown
BRF1	BRF1	brown
BRMS1L	BRMS1L	brown
BRSK2	BRSK2	brown
BRWD1	BRWD1	brown
BTBD7	BTBD7	brown
C10orf76	C10orf76	brown
C11orf42	C11orf42	brown
C11orf68	C11orf68	brown
C11orf72	NA	brown
C12orf10	C12orf10	brown
C16orf92	NA	brown
C17orf100	C17orf100	brown
C17orf50	C17orf50	brown
C19orf25	C19orf25	brown
C19orf44	C19orf44	brown
C1orf116	C1orf116	brown
C1orf210	C1orf210	brown
C1QTNF5	C1QTNF5	brown
C1QTNF7	C1QTNF7	brown
C2orf72	C2orf72	brown
C5orf42	C5orf42	brown
C5orf60	NA	brown
C6orf141	C6orf141	brown
CACNA1A	CACNA1A	brown
CACNA1F	CACNA1F	brown
CACNA1G	CACNA1G	brown
CACNA2D4	CACNA2D4	brown
CACNG8	CACNG8	brown
CALM3	CALM3	brown
CALML4	CALML4	brown
CAMSAP2	NA	brown
CASQ1	CASQ1	brown
CAV1	CAV1	brown
CAV2	CAV2	brown
CAVIN3	NA	brown
CCAT1	NA	brown
CCDC177	NA	brown
CCDC26	CCDC26	brown
CCDC8	CCDC8	brown
CCDC96	CCDC96	brown
CD244	CD244	brown
CD300LG	CD300LG	brown
CD80	CD80	brown
CDC20	CDC20	brown
CDC42BPG	CDC42BPG	brown
CDC45	NA	brown
CDH15	CDH15	brown
CDHR4	NA	brown
CDHR5	NA	brown
CDK15	NA	brown
CDKN1A	CDKN1A	brown
CDR2L	CDR2L	brown
CEACAM1	CEACAM1	brown
CEACAM19	CEACAM19	brown
CELA1	NA	brown
CELA2A	NA	brown
CELA2B	NA	brown
CEP170	CEP170	brown
CEP44	NA	brown
CFC1	CFC1	brown
CGB2	CGB2	brown
CGB3	NA	brown
CGN	CGN	brown
CHAC1	CHAC1	brown
CHCHD5	CHCHD5	brown
CHIA	CHIA	brown
CHL1.AS1	NA	brown
CHPF	CHPF	brown
CHRNA7	CHRNA7	brown
CHRNB2	CHRNB2	brown
CHST8	CHST8	brown
CLCN1	CLCN1	brown
CLCNKA	CLCNKA	brown
CLDN10	CLDN10	brown
CLDN6	CLDN6	brown
CLDN7	CLDN7	brown
CLOCK	CLOCK	brown
CMTR2	NA	brown
CNGB1	CNGB1	brown
CNIH4	CNIH4	brown
CNKSR1	CNKSR1	brown
CNR1	CNR1	brown
CNTD2	CNTD2	brown
CNTNAP1	CNTNAP1	brown
CNTNAP5	CNTNAP5	brown
COL26A1	NA	brown
COL4A2	COL4A2	brown
COL4A5	COL4A5	brown
COL6A1	COL6A1	brown
COL6A3	COL6A3	brown
COLCA1	NA	brown
COPRS	NA	brown
COTL1	COTL1	brown
COX4I2	COX4I2	brown
COX7A1	COX7A1	brown
CPA4	CPA4	brown
CPB1	CPB1	brown
CPN1	CPN1	brown
CPNE6	CPNE6	brown
CPNE7	CPNE7	brown
CPT1C	CPT1C	brown
CPXM1	CPXM1	brown
CPXM2	CPXM2	brown
CRABP1	CRABP1	brown
CRAMP1	NA	brown
CRHR1	CRHR1	brown
CRLF2	CRLF2	brown
CRYBA4	CRYBA4	brown
CRYBB3	CRYBB3	brown
CRYGA	CRYGA	brown
CSN1S1	CSN1S1	brown
CSN2	CSN2	brown
CSPP1	CSPP1	brown
CST11	CST11	brown
CTIF	NA	brown
CXorf38	CXorf38	brown
CYBRD1	CYBRD1	brown
CYP17A1	CYP17A1	brown
CYP24A1	CYP24A1	brown
CYP2B6	CYP2B6	brown
CYP2F1	CYP2F1	brown
CYP3A43	CYP3A43	brown
CYP7B1	CYP7B1	brown
