nodeName	altName	nodeAttr[nodesPresent, ]
ARL10	ARL10	cyan
ART4	ART4	cyan
BPY2B	BPY2B	cyan
CA10	CA10	cyan
CEMIP	NA	cyan
CPA2	CPA2	cyan
CRISP1	CRISP1	cyan
EIF3B	EIF3B	cyan
ERC2	ERC2	cyan
FAM171B	FAM171B	cyan
GCKR	GCKR	cyan
GFPT2	GFPT2	cyan
HCG4	HCG4	cyan
HHLA2	HHLA2	cyan
KIAA0895	KIAA0895	cyan
LGALS8.AS1	NA	cyan
LOC100505622	NA	cyan
LOC101928418	NA	cyan
LOC101928907	NA	cyan
LOC102606466	NA	cyan
MGC12916	MGC12916	cyan
MYF6	MYF6	cyan
MYO6	MYO6	cyan
NEK11	NEK11	cyan
NXPH2	NXPH2	cyan
OR8G1	OR8G1	cyan
PCDHA11	PCDHA11	cyan
PFN3	PFN3	cyan
PRLHR	PRLHR	cyan
RNASE8	RNASE8	cyan
SBK1	SBK1	cyan
SMR3B	SMR3B	cyan
SNORD114.3	NA	cyan
SP5	SP5	cyan
SPEM1	SPEM1	cyan
SYCP1	SYCP1	cyan
TEK	TEK	cyan
TIGD4	TIGD4	cyan
TMEM150C	NA	cyan
WFDC11	WFDC11	cyan
ZMYND10	ZMYND10	cyan
ZSCAN2	ZSCAN2	cyan
