nodeName	altName	nodeAttr[nodesPresent, ]
AAMDC	NA	green
ABCB7	ABCB7	green
ABLIM2	ABLIM2	green
ACOT1	ACOT1	green
ACOT2	ACOT2	green
ACYP2	ACYP2	green
ADAT2	ADAT2	green
AGBL2	AGBL2	green
AGPAT5	AGPAT5	green
AKAP8	AKAP8	green
ANAPC10	ANAPC10	green
ANAPC16	NA	green
ANK3	ANK3	green
ANKAR	ANKAR	green
ANKS6	ANKS6	green
AP2A2	AP2A2	green
ARL1	ARL1	green
ARMCX2	ARMCX2	green
ATP11C	ATP11C	green
ATP6V0E2.AS1	NA	green
ATR	ATR	green
BAG2	BAG2	green
BCDIN3D	BCDIN3D	green
BEX4	BEX4	green
BEX5	BEX5	green
BMI1	BMI1	green
BRCC3	BRCC3	green
BRIX1	NA	green
C12orf73	C12orf73	green
C18orf21	C18orf21	green
C21orf59	C21orf59	green
C2orf92	NA	green
C3orf58	C3orf58	green
C6orf203	C6orf203	green
CAAP1	NA	green
CCDC167	NA	green
CCDC65	CCDC65	green
CCNC	CCNC	green
CD28	CD28	green
CD96	CD96	green
CENPC	NA	green
CENPN	CENPN	green
CEP57	CEP57	green
CHEK1	CHEK1	green
CHTF18	CHTF18	green
CMTR2	NA	green
COPS4	COPS4	green
COX14	NA	green
CRLS1	CRLS1	green
CRYZL1	CRYZL1	green
CTH	CTH	green
CTPS1	NA	green
CTR9	CTR9	green
CXCL16	CXCL16	green
CYHR1	CYHR1	green
CYP2R1	CYP2R1	green
DAP3	DAP3	green
DCAF17	NA	green
DEF8	DEF8	green
DNAJC16	DNAJC16	green
DPH5	DPH5	green
DRAM2	NA	green
DUSP12	DUSP12	green
EBNA1BP2	EBNA1BP2	green
EEA1	EEA1	green
EED	EED	green
EEF1A1	EEF1A1	green
EEF1E1	EEF1E1	green
EFL1	NA	green
EID3	EID3	green
EIF2B1	EIF2B1	green
EIF3D	EIF3D	green
EIF4B	EIF4B	green
ELP2	ELP2	green
ELP4	ELP4	green
EMG1	EMG1	green
EXOSC3	EXOSC3	green
EXOSC7	EXOSC7	green
EXOSC8	EXOSC8	green
FAM241B	NA	green
FAM3C	FAM3C	green
FANCE	FANCE	green
FANCF	FANCF	green
FBXO41	FBXO41	green
FDX1	FDX1	green
FITM2	NA	green
FYTTD1	FYTTD1	green
GAB2	GAB2	green
GAR1	GAR1	green
GATD1	NA	green
GNL2	GNL2	green
GOLGA3	GOLGA3	green
GON7	NA	green
GOPC	GOPC	green
GPAM	GPAM	green
GPRASP1	GPRASP1	green
GTF2E1	GTF2E1	green
H2AFX	H2AFX	green
HAUS1	NA	green
HDGFL3	NA	green
HENMT1	NA	green
HIBCH	HIBCH	green
HILPDA	NA	green
HIST1H2AJ	HIST1H2AJ	green
HNRNPA1	HNRNPA1	green
HSPA14	HSPA14	green
HSPA8	HSPA8	green
ICE1	NA	green
IER3IP1	IER3IP1	green
IFI27L2	IFI27L2	green
IGF2R	IGF2R	green
IMMT	IMMT	green
INTS6L	NA	green
JPT2	NA	green
KAT14	NA	green
KDF1	NA	green
KLRB1	KLRB1	green
KRBA1	KRBA1	green
LOC105373383	NA	green
LRBA	LRBA	green
LRPPRC	LRPPRC	green
LSS	LSS	green
LTV1	LTV1	green
LYAR	LYAR	green
MAF	MAF	green
MAGEF1	MAGEF1	green
MAGEH1	MAGEH1	green
MAIP1	NA	green
METTL5	METTL5	green
METTL6	METTL6	green
MFF	MFF	green
MIR4697HG	NA	green
MRNIP	NA	green
MRPL18	MRPL18	green
MRPL3	MRPL3	green
MRPL35	MRPL35	green
MRPL46	MRPL46	green
MRPS17	MRPS17	green
MRPS21	MRPS21	green
MRPS22	MRPS22	green
MRPS24	MRPS24	green
MRPS35	MRPS35	green
MSH2	MSH2	green
MTERF3	NA	green
NDC1	NA	green
NDUFAF4	NA	green
NDUFB5	NDUFB5	green
NDUFB9	NDUFB9	green
NDUFS4	NDUFS4	green
NGDN	NGDN	green
NKIRAS1	NKIRAS1	green
NOL8	NOL8	green
NOL9	NOL9	green
NOTCH4	NOTCH4	green
NRGN	NRGN	green
NUDT21	NUDT21	green
NUP62	NUP62	green
OARD1	NA	green
OCIAD2	OCIAD2	green
ORMDL1	ORMDL1	green
P4HTM	P4HTM	green
PBDC1	NA	green
PCYOX1L	PCYOX1L	green
PFDN2	PFDN2	green
PGRMC2	PGRMC2	green
PIGP	PIGP	green
PKIA	PKIA	green
PLAC8	PLAC8	green
PMS1	PMS1	green
POLA1	POLA1	green
POLG2	POLG2	green
PON2	PON2	green
PPA1	PPA1	green
PPIL3	PPIL3	green
PPP1R8	PPP1R8	green
PRNP	PRNP	green
PRPF38A	PRPF38A	green
PRRT2	PRRT2	green
PSMA1	PSMA1	green
PSMC2	PSMC2	green
PSMD14	PSMD14	green
PTGES3L.AARSD1	NA	green
PTRH2	PTRH2	green
PUS1	PUS1	green
PWP1	PWP1	green
RAB33A	RAB33A	green
RAD50	RAD50	green
RAD51C	RAD51C	green
RAN	RAN	green
RARS	RARS	green
RBFA	NA	green
RBM45	RBM45	green
RBMX2	RBMX2	green
RFC4	RFC4	green
RNF126	RNF126	green
RNF220	RNF220	green
RNF7	RNF7	green
RPAIN	RPAIN	green
RPAP1	RPAP1	green
RPE	RPE	green
RPL41	RPL41	green
RPL9	RPL9	green
RPS10	RPS10	green
RPS13	RPS13	green
RPS18	RPS18	green
RPS6	RPS6	green
RTRAF	NA	green
SAE1	SAE1	green
SAR1A	SAR1A	green
