nodeName	altName	nodeAttr[nodesPresent, ]
ADGRF3	NA	greenyellow
ALDH3B2	ALDH3B2	greenyellow
AMER2	NA	greenyellow
ANKMY2	ANKMY2	greenyellow
CCDC149	CCDC149	greenyellow
CCL19	CCL19	greenyellow
CCR3	CCR3	greenyellow
CDH16	CDH16	greenyellow
COL4A1	COL4A1	greenyellow
DAND5	DAND5	greenyellow
DKK2	DKK2	greenyellow
DNM1P46	NA	greenyellow
DRD5	DRD5	greenyellow
DRD5P2	NA	greenyellow
DUX3	DUX3	greenyellow
ELAVL3	ELAVL3	greenyellow
ENPP7	ENPP7	greenyellow
FAM155A	FAM155A	greenyellow
FAM27E5	NA	greenyellow
FAM86B3P	NA	greenyellow
GABRE	GABRE	greenyellow
ITGBL1	ITGBL1	greenyellow
KLF17	KLF17	greenyellow
KRT16P3	NA	greenyellow
KRT19P2	KRT19P2	greenyellow
KRTAP19.1	NA	greenyellow
KRTAP8.1	NA	greenyellow
KYAT3	NA	greenyellow
LGALS7	LGALS7	greenyellow
LINC00965	NA	greenyellow
MMP14	MMP14	greenyellow
MTCL1	NA	greenyellow
NKX2.1	NA	greenyellow
NXPH3	NXPH3	greenyellow
OR5P2	OR5P2	greenyellow
OR7E5P	OR7E5P	greenyellow
PCIF1	PCIF1	greenyellow
PITX2	PITX2	greenyellow
PKD1	PKD1	greenyellow
POM121L8P	NA	greenyellow
POM121L9P	NA	greenyellow
PRDM7	PRDM7	greenyellow
PSG8	PSG8	greenyellow
RAB36	RAB36	greenyellow
RBFOX2	NA	greenyellow
RPH3AL	RPH3AL	greenyellow
SCTR	SCTR	greenyellow
SIRPA	SIRPA	greenyellow
SLC32A1	SLC32A1	greenyellow
SPDYE1	NA	greenyellow
SPDYE2	NA	greenyellow
SPDYE8P	NA	greenyellow
SPEM2	NA	greenyellow
SRCIN1	NA	greenyellow
TAC1	TAC1	greenyellow
TDGF1	TDGF1	greenyellow
TERT	TERT	greenyellow
TMEM217	TMEM217	greenyellow
TMEM35A	NA	greenyellow
TMPRSS13	TMPRSS13	greenyellow
TNNC1	TNNC1	greenyellow
TNR	TNR	greenyellow
TRIM49	TRIM49	greenyellow
VCX	VCX	greenyellow
VCX2	VCX2	greenyellow
VCX3A	VCX3A	greenyellow
ZDHHC9	ZDHHC9	greenyellow
ZNF595	ZNF595	greenyellow
