nodeName	altName	nodeAttr[nodesPresent, ]
ABCA12	ABCA12	grey
ABCA13	ABCA13	grey
ABCC11	ABCC11	grey
ACAP3	ACAP3	grey
ACRBP	ACRBP	grey
ACSBG1	ACSBG1	grey
ACSM2A	ACSM2A	grey
ACSM5	ACSM5	grey
ACTA2.AS1	NA	grey
ACVRL1	ACVRL1	grey
ADAM18	ADAM18	grey
ADAM2	ADAM2	grey
ADAMTS20	ADAMTS20	grey
ADAMTS4	ADAMTS4	grey
ADCY10	ADCY10	grey
ADCY5	ADCY5	grey
ADGRG2	NA	grey
ADGRV1	NA	grey
ADNP.AS1	NA	grey
ADORA3	ADORA3	grey
ADPRHL1	ADPRHL1	grey
ADRA1B	ADRA1B	grey
ADRA2B	ADRA2B	grey
AGGF1	AGGF1	grey
AGR3	AGR3	grey
AGTR2	AGTR2	grey
ALG1	ALG1	grey
ALLC	ALLC	grey
AMIGO2	AMIGO2	grey
ANKRD34B	ANKRD34B	grey
ANLN	ANLN	grey
AP1S3	AP1S3	grey
APOD	APOD	grey
APOF	APOF	grey
APPL1	APPL1	grey
ARHGAP28	ARHGAP28	grey
ARHGEF25	NA	grey
ARHGEF4	ARHGEF4	grey
ARL5A	ARL5A	grey
ASB11	ASB11	grey
ASIC5	NA	grey
ASPA	ASPA	grey
ATOH1	ATOH1	grey
ATP2A1	ATP2A1	grey
ATP6V1B1	ATP6V1B1	grey
ATP6V1C2	ATP6V1C2	grey
ATP8B1	ATP8B1	grey
AWAT1	NA	grey
AZU1	AZU1	grey
BAAT	BAAT	grey
BBOX1	BBOX1	grey
BEST3	BEST3	grey
BMS1P2	NA	grey
BOC	BOC	grey
BOLL	BOLL	grey
BORCS6	NA	grey
BPI	BPI	grey
BPIFB1	NA	grey
C12orf54	C12orf54	grey
C16orf89	C16orf89	grey
C1orf127	C1orf127	grey
C1R	C1R	grey
C20orf166.AS1	NA	grey
C5orf38	C5orf38	grey
C6orf10	C6orf10	grey
C6orf58	C6orf58	grey
C9orf24	C9orf24	grey
CA13	CA13	grey
CA8	CA8	grey
CACNG2	CACNG2	grey
CACNG6	CACNG6	grey
CALML5	CALML5	grey
CALML6	CALML6	grey
CAMK1G	CAMK1G	grey
CAMP	CAMP	grey
CASKIN1	CASKIN1	grey
CATSPERD	NA	grey
CCDC102B	CCDC102B	grey
CCDC105	CCDC105	grey
CCDC113	CCDC113	grey
CCDC13	CCDC13	grey
CCDC140	CCDC140	grey
CCDC184	NA	grey
CCDC74B	CCDC74B	grey
CCDC78	CCDC78	grey
CCDC97	CCDC97	grey
CCL13	CCL13	grey
CCL3	CCL3	grey
CCL3L3	CCL3L3	grey
CDC25A	CDC25A	grey
CDCP2	CDCP2	grey
CDH4	CDH4	grey
CDK5R1	CDK5R1	grey
CDS1	CDS1	grey
CEACAM6	CEACAM6	grey
CELA3B	NA	grey
CELF3	NA	grey
CENPI	CENPI	grey
CENPJ	CENPJ	grey
CENPVL1	NA	grey
CEP97	CEP97	grey
CFAP54	NA	grey
CFB	CFB	grey
CFHR1	CFHR1	grey
CGNL1	CGNL1	grey
CH25H	CH25H	grey
CHCHD1	CHCHD1	grey
CHST3	CHST3	grey
CINP	CINP	grey
CKMT1A	CKMT1A	grey
CLASP2	CLASP2	grey
CLDN14	CLDN14	grey
CLDN18	CLDN18	grey
CLEC14A	CLEC14A	grey
CLRN1	CLRN1	grey
CLSPN	CLSPN	grey
CNGB1	CNGB1	grey
CNKSR3	CNKSR3	grey
CNN1	CNN1	grey
COL17A1	COL17A1	grey
COL22A1	COL22A1	grey
COL4A4	COL4A4	grey
COL5A3	COL5A3	grey
COQ10B	COQ10B	grey
CPA3	CPA3	grey
CPLX4	CPLX4	grey
CRISPLD1	CRISPLD1	grey
CRLF1	CRLF1	grey
CRYBG2	NA	grey
CRYGN	CRYGN	grey
CSF2	CSF2	grey
CSF3	CSF3	grey
CSH2	CSH2	grey
CST11	CST11	grey
CT47A11	NA	grey
CTAGE10P	NA	grey
CTCFL	CTCFL	grey
CTSG	CTSG	grey
CXCL13	CXCL13	grey
CXCL9	CXCL9	grey
CYP20A1	CYP20A1	grey
CYP2C9	CYP2C9	grey
CYP4F30P	NA	grey
DAAM2	DAAM2	grey
DACH2	DACH2	grey
DAOA.AS1	NA	grey
DCDC1	DCDC1	grey
DEFA1	DEFA1	grey
DEFA4	DEFA4	grey
DEFB126	DEFB126	grey
DEPP1	NA	grey
DESI1	NA	grey
DHX57	DHX57	grey
DKKL1	DKKL1	grey
DLX2	DLX2	grey
DMRTB1	DMRTB1	grey
DNAH7	DNAH7	grey
DNAJC12	DNAJC12	grey
DPP10.AS1	NA	grey
DPY19L2P2	DPY19L2P2	grey
DSCAM.AS1	NA	grey
DSCR4	DSCR4	grey
DYNC2LI1	DYNC2LI1	grey
DYRK2	DYRK2	grey
EDN3	EDN3	grey
EEPD1	EEPD1	grey
EFNA5	EFNA5	grey
EID1	EID1	grey
EIF1AX	EIF1AX	grey
ELF3	ELF3	grey
ELF5	ELF5	grey
ELMOD1	ELMOD1	grey
ENAH	ENAH	grey
ENY2	ENY2	grey
EPCAM	EPCAM	grey
EPHA5	EPHA5	grey
EPN2	EPN2	grey
EPO	EPO	grey
ERICH6	NA	grey
ERMAP	ERMAP	grey
F13A1	F13A1	grey
F13B	F13B	grey
F3	F3	grey
FABP3	FABP3	grey
FAM19A5	FAM19A5	grey
FAM234B	NA	grey
FAM71E1	FAM71E1	grey
FAM71E2	FAM71E2	grey
FAM83C	FAM83C	grey
FAM9B	FAM9B	grey
FAT2	FAT2	grey
FBXO24	FBXO24	grey
FBXO40	FBXO40	grey
FGF11	FGF11	grey
FGF14	FGF14	grey
FGF17	FGF17	grey
FILIP1L	FILIP1L	grey
FLJ12825	FLJ12825	grey
FLJ40288	NA	grey
FMOD	FMOD	grey
FMR1NB	FMR1NB	grey
FNDC5	FNDC5	grey
FPGS	FPGS	grey
FRMD5	FRMD5	grey
FXYD1	FXYD1	grey
FYB2	NA	grey
FZD10.AS1	NA	grey
GABRQ	GABRQ	grey
GALNT11	GALNT11	grey
GAS2L1	GAS2L1	grey
GCSAML	NA	grey
GFM1	GFM1	grey
GHR	GHR	grey
GJB7	GJB7	grey
GLB1L2	GLB1L2	grey
GLIPR1L1	GLIPR1L1	grey
GLRA2	GLRA2	grey
GLT8D2	GLT8D2	grey
GM2A	GM2A	grey
GNGT1	GNGT1	grey
GNRHR	GNRHR	grey
