nodeName	altName	nodeAttr[nodesPresent, ]
APOL6	APOL6	lightcyan
ATF3	ATF3	lightcyan
BATF2	BATF2	lightcyan
CCL2	CCL2	lightcyan
CMPK2	NA	lightcyan
CXCL10	CXCL10	lightcyan
DDX58	DDX58	lightcyan
DDX60L	DDX60L	lightcyan
EIF2AK2	EIF2AK2	lightcyan
ETV7	ETV7	lightcyan
FANCA	FANCA	lightcyan
FAP	FAP	lightcyan
GBP1	GBP1	lightcyan
HERC5	HERC5	lightcyan
IFI27	IFI27	lightcyan
IFI44	IFI44	lightcyan
IFIT1	IFIT1	lightcyan
IFIT2	IFIT2	lightcyan
IFIT5	IFIT5	lightcyan
ISG15	ISG15	lightcyan
KLHDC7B	KLHDC7B	lightcyan
LAP3	LAP3	lightcyan
MX1	MX1	lightcyan
OAS1	OAS1	lightcyan
OAS3	OAS3	lightcyan
PLSCR1	PLSCR1	lightcyan
PNPT1	PNPT1	lightcyan
REC8	REC8	lightcyan
RSAD2	RSAD2	lightcyan
RTP4	RTP4	lightcyan
SAMD9	SAMD9	lightcyan
SCO2	SCO2	lightcyan
SERPING1	SERPING1	lightcyan
SIGLEC1	SIGLEC1	lightcyan
SP110	SP110	lightcyan
SPATS2L	NA	lightcyan
STAT2	STAT2	lightcyan
TIMM10	TIMM10	lightcyan
TMEM123	TMEM123	lightcyan
TNFAIP6	TNFAIP6	lightcyan
TRIM22	TRIM22	lightcyan
USP18	USP18	lightcyan
XAF1	XAF1	lightcyan
ZCCHC2	ZCCHC2	lightcyan
