nodeName	altName	nodeAttr[nodesPresent, ]
AIF1L	AIF1L	magenta
ALDH1A3	ALDH1A3	magenta
ALDH8A1	ALDH8A1	magenta
AMPD1	AMPD1	magenta
ANKRD34A	ANKRD34A	magenta
ARHGAP1	ARHGAP1	magenta
ARHGAP29	ARHGAP29	magenta
ARL6	ARL6	magenta
ARSI	ARSI	magenta
BCHE	BCHE	magenta
C10orf67	C10orf67	magenta
C10orf90	C10orf90	magenta
C11orf65	C11orf65	magenta
CASC11	NA	magenta
CBLN4	CBLN4	magenta
CDC5L	CDC5L	magenta
CDH19	CDH19	magenta
CHD5	CHD5	magenta
CHRM3	CHRM3	magenta
COL11A1	COL11A1	magenta
CRK	CRK	magenta
CTNND2	CTNND2	magenta
CYP4A11	CYP4A11	magenta
DDX4	DDX4	magenta
DEPDC4	DEPDC4	magenta
DNAJC18	DNAJC18	magenta
DPCR1	DPCR1	magenta
DPP10	DPP10	magenta
ECEL1	ECEL1	magenta
EMX2	EMX2	magenta
FAM110C	FAM110C	magenta
GATC	GATC	magenta
GDA	GDA	magenta
GOLM1	GOLM1	magenta
GPR37L1	GPR37L1	magenta
HHCM	NA	magenta
IL13RA2	IL13RA2	magenta
IL17D	IL17D	magenta
KRT17P5	NA	magenta
KRTAP12.2	NA	magenta
LINC00917	NA	magenta
LINC01607	NA	magenta
LPAR3	LPAR3	magenta
LUM	LUM	magenta
MAGEE1	MAGEE1	magenta
MSRB3	MSRB3	magenta
MYL1	MYL1	magenta
NASP	NASP	magenta
NEMP1	NA	magenta
NKX6.2	NA	magenta
NLRP9	NLRP9	magenta
NOL10	NOL10	magenta
NUP153	NUP153	magenta
OR10R2	OR10R2	magenta
OR2A14	OR2A14	magenta
OR51A7	OR51A7	magenta
PCDHB12	PCDHB12	magenta
PDCL2	PDCL2	magenta
PLEKHS1	NA	magenta
RANBP17	RANBP17	magenta
RFX6	RFX6	magenta
RGS20	RGS20	magenta
RYR3	RYR3	magenta
SIK2	SIK2	magenta
SLC17A1	SLC17A1	magenta
SLC26A10	SLC26A10	magenta
SLC2A12	SLC2A12	magenta
SLC7A14	SLC7A14	magenta
SYNDIG1L	NA	magenta
TGIF2LY	TGIF2LY	magenta
THAP10	THAP10	magenta
TLL1	TLL1	magenta
TPBG	TPBG	magenta
VWA5B1	VWA5B1	magenta
ZACN	ZACN	magenta
ZBED9	NA	magenta
ZFP91	ZFP91	magenta
ZNF443	ZNF443	magenta
ZNF620	ZNF620	magenta
