nodeName	altName	nodeAttr[nodesPresent, ]
APOL6	APOL6	midnightblue
ATF3	ATF3	midnightblue
BATF2	BATF2	midnightblue
CMPK2	NA	midnightblue
CXCL10	CXCL10	midnightblue
DDX58	DDX58	midnightblue
DDX60L	DDX60L	midnightblue
EIF2AK2	EIF2AK2	midnightblue
ETV7	ETV7	midnightblue
FANCA	FANCA	midnightblue
FAP	FAP	midnightblue
GBP1	GBP1	midnightblue
HERC5	HERC5	midnightblue
IFI27	IFI27	midnightblue
IFI44	IFI44	midnightblue
IFIT1	IFIT1	midnightblue
IFIT2	IFIT2	midnightblue
IFIT5	IFIT5	midnightblue
IRF7	IRF7	midnightblue
ISG15	ISG15	midnightblue
LAP3	LAP3	midnightblue
MX1	MX1	midnightblue
OAS1	OAS1	midnightblue
OAS3	OAS3	midnightblue
PLSCR1	PLSCR1	midnightblue
PNPT1	PNPT1	midnightblue
REC8	REC8	midnightblue
RSAD2	RSAD2	midnightblue
RTP4	RTP4	midnightblue
SAMD9	SAMD9	midnightblue
SCO2	SCO2	midnightblue
SERPING1	SERPING1	midnightblue
SIGLEC1	SIGLEC1	midnightblue
SP110	SP110	midnightblue
SPATS2L	NA	midnightblue
STAT2	STAT2	midnightblue
TMEM123	TMEM123	midnightblue
TNFSF10	TNFSF10	midnightblue
TRIM22	TRIM22	midnightblue
USP18	USP18	midnightblue
XAF1	XAF1	midnightblue
ZCCHC2	ZCCHC2	midnightblue
