nodeName	altName	nodeAttr[nodesPresent, ]
A4GALT	A4GALT	pink
ADAMTS10	ADAMTS10	pink
ANKRD13B	ANKRD13B	pink
AOC4P	NA	pink
APLNR	APLNR	pink
APOC4	APOC4	pink
C15orf59	C15orf59	pink
C17orf53	C17orf53	pink
C17orf64	C17orf64	pink
C22orf24	C22orf24	pink
CACNB2	CACNB2	pink
CASR	CASR	pink
CDKN2B	CDKN2B	pink
CDRT15	CDRT15	pink
CDX4	CDX4	pink
CHRDL1	CHRDL1	pink
CLGN	CLGN	pink
DEFB103B	NA	pink
DES	DES	pink
DKK4	DKK4	pink
DMC1	DMC1	pink
EN1	EN1	pink
FABP6	FABP6	pink
FAM110D	NA	pink
FAM71F1	FAM71F1	pink
FGF8	FGF8	pink
FLJ31356	FLJ31356	pink
FOXA1	FOXA1	pink
FZD9	FZD9	pink
GCM2	GCM2	pink
GJC1	GJC1	pink
GREB1L	NA	pink
HOXA.AS2	NA	pink
IL11	IL11	pink
JSRP1	JSRP1	pink
KCNH5	KCNH5	pink
LACRT	LACRT	pink
LOC100505912	NA	pink
LOC100506990	NA	pink
LOC101928303	NA	pink
LSMEM2	NA	pink
LYZL2	LYZL2	pink
MTNR1B	MTNR1B	pink
MYH13	MYH13	pink
MYH6	MYH6	pink
MYH8	MYH8	pink
NDNF	NA	pink
NFASC	NA	pink
NPM2	NPM2	pink
NPPC	NPPC	pink
NRAP	NRAP	pink
NRAV	NA	pink
NREP	NA	pink
NXPE1	NA	pink
PAX6	PAX6	pink
PCSK4	PCSK4	pink
PEAK1	NA	pink
PHLDA1	PHLDA1	pink
PLEKHA6	PLEKHA6	pink
RALYL	RALYL	pink
RBBP8NL	NA	pink
RGSL1	RGSL1	pink
RNF180	RNF180	pink
RSPH4A	NA	pink
SCD5	SCD5	pink
SCN2B	SCN2B	pink
SCOC.AS1	NA	pink
SDK1	SDK1	pink
SEC14L3	SEC14L3	pink
SEMA5A	SEMA5A	pink
SIX5	SIX5	pink
SLC22A9	SLC22A9	pink
SLC23A3	SLC23A3	pink
SLC8A2	SLC8A2	pink
SOCS7	SOCS7	pink
SRGAP3	SRGAP3	pink
SRPX2	SRPX2	pink
STX1B	STX1B	pink
SYT8	SYT8	pink
TBX2	TBX2	pink
TCEAL7	TCEAL7	pink
THRSP	THRSP	pink
TLE6	TLE6	pink
TNNT2	TNNT2	pink
TNP1	TNP1	pink
TTTY5	TTTY5	pink
TXNDC2	TXNDC2	pink
WNK2	WNK2	pink
WNT2B	WNT2B	pink
XAGE2	NA	pink
ZBTB46	ZBTB46	pink
