nodeName	altName	nodeAttr[nodesPresent, ]
ABCC13	ABCC13	purple
ABCG2	ABCG2	purple
AGO2	NA	purple
ANK1	ANK1	purple
ANKRD9	ANKRD9	purple
AQP1	AQP1	purple
BNIP3L	BNIP3L	purple
C21orf58	C21orf58	purple
C4orf45	C4orf45	purple
CDKL1	CDKL1	purple
CISD2	CISD2	purple
CMBL	CMBL	purple
CRB1	CRB1	purple
CTSE	CTSE	purple
DNAJA2	DNAJA2	purple
DNAJA4	DNAJA4	purple
DPCD	NA	purple
DYRK3	DYRK3	purple
E2F2	E2F2	purple
EPB41	EPB41	purple
FAHD1	FAHD1	purple
FAM46C	FAM46C	purple
FBXO9	FBXO9	purple
FECH	FECH	purple
FHL2	FHL2	purple
FIS1	FIS1	purple
FKBP1B	FKBP1B	purple
FLCN	FLCN	purple
FOXO4	FOXO4	purple
GID4	NA	purple
GLRX5	GLRX5	purple
GSPT1	GSPT1	purple
H2AFJ	H2AFJ	purple
HBD	HBD	purple
HBG1	HBG1	purple
HDAC7	HDAC7	purple
HEPACAM2	HEPACAM2	purple
HIST1H2AG	HIST1H2AG	purple
HMBS	HMBS	purple
IGF2BP2	IGF2BP2	purple
ISCA1	ISCA1	purple
JHDM1D.AS1	NA	purple
KANK2	KANK2	purple
KLHL18	KLHL18	purple
KRT1	KRT1	purple
LGALS3	LGALS3	purple
LOC441455	LOC441455	purple
MICAL2	MICAL2	purple
MICALCL	MICALCL	purple
MKRN1	MKRN1	purple
MPP1	MPP1	purple
MSI2	MSI2	purple
NFIX	NFIX	purple
NINJ2	NINJ2	purple
ODC1	ODC1	purple
PAQR9	PAQR9	purple
PDE2A	PDE2A	purple
PNKP	PNKP	purple
RAB2B	RAB2B	purple
REXO2	REXO2	purple
RGCC	NA	purple
RHAG	RHAG	purple
RHCE	RHCE	purple
SEMA7A	SEMA7A	purple
SESN3	SESN3	purple
SLC25A37	SLC25A37	purple
SMIM29	NA	purple
SMOX	SMOX	purple
SNCA	SNCA	purple
SRRD	SRRD	purple
STRADB	STRADB	purple
SUGP2	NA	purple
TBC1D20	TBC1D20	purple
TESC	TESC	purple
TGM2	TGM2	purple
TNS1	TNS1	purple
TRAK2	TRAK2	purple
TRIM10	TRIM10	purple
TRIM58	TRIM58	purple
TSPAN5	TSPAN5	purple
TUSC2	TUSC2	purple
UBA52	UBA52	purple
UBE2F	UBE2F	purple
UBXN6	UBXN6	purple
VTI1B	VTI1B	purple
VWCE	VWCE	purple
YBX1	YBX1	purple
YBX3	NA	purple
YY1AP1	YY1AP1	purple
