nodeName	altName	nodeAttr[nodesPresent, ]
ACBD4	ACBD4	red
ACHE	ACHE	red
ACVR2A	ACVR2A	red
ACVR2B	ACVR2B	red
ADAMTSL2	ADAMTSL2	red
ADNP2	ADNP2	red
AIFM2	AIFM2	red
ALDH2	ALDH2	red
ALPPL2	ALPPL2	red
AMN	AMN	red
ANKDD1A	ANKDD1A	red
ANKRD65	NA	red
APC2	APC2	red
AQR	AQR	red
ARHGAP33	NA	red
ASB16.AS1	NA	red
ATN1	ATN1	red
ATP6V1G2	ATP6V1G2	red
ATXN7L2	ATXN7L2	red
BCAM	BCAM	red
BHLHA15	BHLHA15	red
BHLHE22	BHLHE22	red
BMP8B	BMP8B	red
BPIFB2	NA	red
C15orf40	C15orf40	red
C19orf25	C19orf25	red
C1orf229	NA	red
C20orf141	C20orf141	red
C5orf58	NA	red
C7orf43	C7orf43	red
C9orf72	C9orf72	red
CACNA1B	CACNA1B	red
CACNA1E	CACNA1E	red
CARMIL2	NA	red
CBX7	CBX7	red
CCDC120	CCDC120	red
CCL24	CCL24	red
CD4	CD4	red
CD79A	CD79A	red
CDH22	CDH22	red
CDH24	CDH24	red
CELA2A	NA	red
CEP131	NA	red
CFAP44	NA	red
CHMP3	NA	red
CHRNA4	CHRNA4	red
CHST13	CHST13	red
CLDN3	CLDN3	red
CLMN	CLMN	red
CMIP	CMIP	red
COA4	NA	red
COG3	COG3	red
COPA	COPA	red
COPB2	COPB2	red
CPLX2	CPLX2	red
CPNE8	CPNE8	red
CREB3L1	CREB3L1	red
CRTC1	CRTC1	red
CTRB2	CTRB2	red
CYB5R3	CYB5R3	red
CYLD	CYLD	red
CYP4F2	CYP4F2	red
DBT	DBT	red
DCLRE1C	DCLRE1C	red
DCTN1	DCTN1	red
DNAJC14	DNAJC14	red
EMBP1	NA	red
EN2	EN2	red
EPG5	NA	red
ERI1	ERI1	red
ERMP1	ERMP1	red
ERN2	ERN2	red
ESRRB	ESRRB	red
EVX1	EVX1	red
FAM103A1	FAM103A1	red
FAM124A	FAM124A	red
FAM129B	FAM129B	red
FAM219A	NA	red
FAM43B	FAM43B	red
FBLIM1	FBLIM1	red
FDCSP	NA	red
FGF3	FGF3	red
FGL2	FGL2	red
FKBP4	FKBP4	red
FLJ23867	FLJ23867	red
FOXB1	FOXB1	red
FOXC1	FOXC1	red
FOXQ1	FOXQ1	red
FRMD4A	FRMD4A	red
GAS8.AS1	NA	red
GDF5OS	GDF5OS	red
GFRA4	GFRA4	red
GH2	GH2	red
GLI4	GLI4	red
GNG8	GNG8	red
GPR119	GPR119	red
GPR3	GPR3	red
GRIN1	GRIN1	red
GRIN2D	GRIN2D	red
GS1.24F4.2	NA	red
GTF2H1	GTF2H1	red
HCN4	HCN4	red
HERPUD1	HERPUD1	red
HES4	HES4	red
HES7	HES7	red
HMCN2	HMCN2	red
HMGN2P46	NA	red
HMX2	HMX2	red
HSPB9	HSPB9	red
IFITM5	IFITM5	red
IK	IK	red
IQGAP3	IQGAP3	red
IRX4	IRX4	red
IST1	NA	red
JPX	NA	red
KCNH2	KCNH2	red
KCNK7	KCNK7	red
KLF14	KLF14	red
KLHDC7A	KLHDC7A	red
KLHL17	KLHL17	red
KLK3	KLK3	red
KNTC1	KNTC1	red
KRT14	KRT14	red
KRT3	KRT3	red
KRTAP1.3	NA	red
KRTAP4.1	NA	red
LCE1C	LCE1C	red
LFNG	LFNG	red
LHX1	LHX1	red
LIN9	LIN9	red
LINC00957	NA	red
LINC01993	NA	red
LINC02076	NA	red
LMF1	LMF1	red
LMNTD2	NA	red
LMO2	LMO2	red
LOC101927502	NA	red
LOC105373876	NA	red
LOC389199	LOC389199	red
LOC440461	LOC440461	red
