nodeName	altName	nodeAttr[nodesPresent, ]
ACAP2	ACAP2	salmon
AKAP8L	AKAP8L	salmon
ASH1L	ASH1L	salmon
ATF7IP	ATF7IP	salmon
BRD3	BRD3	salmon
BTN2A2	BTN2A2	salmon
CASC4	CASC4	salmon
CCDC125	CCDC125	salmon
CCNK	CCNK	salmon
CRBN	CRBN	salmon
DNAJC3	DNAJC3	salmon
EIF4G3	EIF4G3	salmon
EP300	EP300	salmon
EVI2B	EVI2B	salmon
EXOC3	EXOC3	salmon
FOXN2	FOXN2	salmon
GIGYF2	GIGYF2	salmon
GTF2A1	GTF2A1	salmon
HNRNPU	HNRNPU	salmon
JAK1	JAK1	salmon
JUN	JUN	salmon
KAT6A	NA	salmon
KIAA0319L	KIAA0319L	salmon
KMT2C	NA	salmon
KRAS	KRAS	salmon
LARP4	LARP4	salmon
LRRC37A2	LRRC37A2	salmon
MACF1	MACF1	salmon
MINDY2	NA	salmon
MTPN	MTPN	salmon
MYO9B	MYO9B	salmon
NBPF10	NBPF10	salmon
NCOA3	NCOA3	salmon
NPEPPS	NPEPPS	salmon
OSBPL8	OSBPL8	salmon
PACS1	PACS1	salmon
PDE7A	PDE7A	salmon
PHF8	PHF8	salmon
PHYKPL	NA	salmon
PRDM1	PRDM1	salmon
RASSF4	RASSF4	salmon
RNF213	RNF213	salmon
SAFB	SAFB	salmon
SAFB2	SAFB2	salmon
SCARNA17	SCARNA17	salmon
SETD2	SETD2	salmon
SH3KBP1	SH3KBP1	salmon
SLC35E3	SLC35E3	salmon
SMG6	SMG6	salmon
SNRK	SNRK	salmon
SRGAP2B	NA	salmon
SRSF4	NA	salmon
STAG2	STAG2	salmon
STX6	STX6	salmon
TET2	TET2	salmon
TNRC6B	TNRC6B	salmon
TRIR	NA	salmon
USP34	USP34	salmon
VASP	VASP	salmon
ZNF644	ZNF644	salmon
ZNF800	ZNF800	salmon
