nodeName	altName	nodeAttr[nodesPresent, ]
ACAP2	ACAP2	tan
AGGF1	AGGF1	tan
ANTXR2	ANTXR2	tan
ASH1L	ASH1L	tan
BRD3	BRD3	tan
BTN2A2	BTN2A2	tan
CASC4	CASC4	tan
CCDC125	CCDC125	tan
CCNK	CCNK	tan
CEP85L	NA	tan
CEP97	CEP97	tan
CHD1	CHD1	tan
CNN2	CNN2	tan
DNAJC3	DNAJC3	tan
EIF4G3	EIF4G3	tan
EP300	EP300	tan
EVI2B	EVI2B	tan
EXOC3	EXOC3	tan
EXTL3	EXTL3	tan
FAM160B1	FAM160B1	tan
FOXN2	FOXN2	tan
FYB1	NA	tan
GIGYF2	GIGYF2	tan
GNPTAB	GNPTAB	tan
JAK1	JAK1	tan
JUN	JUN	tan
KIAA0319L	KIAA0319L	tan
KMT2C	NA	tan
KRAS	KRAS	tan
LARP4	LARP4	tan
LRRC37A2	LRRC37A2	tan
MACF1	MACF1	tan
MINDY2	NA	tan
MTPN	MTPN	tan
MYO9B	MYO9B	tan
NBPF10	NBPF10	tan
NCOA3	NCOA3	tan
NPEPPS	NPEPPS	tan
OSBPL8	OSBPL8	tan
PACS1	PACS1	tan
PCM1	PCM1	tan
PDE7A	PDE7A	tan
PHF2	PHF2	tan
PHF8	PHF8	tan
PKN2	PKN2	tan
PRDM1	PRDM1	tan
RASSF4	RASSF4	tan
RIF1	RIF1	tan
RNF213	RNF213	tan
SAFB	SAFB	tan
SAFB2	SAFB2	tan
SETD2	SETD2	tan
SETX	SETX	tan
SH3KBP1	SH3KBP1	tan
SLC35E3	SLC35E3	tan
SMG6	SMG6	tan
SNRK	SNRK	tan
SRGAP2B	NA	tan
SRSF4	NA	tan
STAG2	STAG2	tan
STX6	STX6	tan
TAOK1	TAOK1	tan
TET2	TET2	tan
TRIM33	TRIM33	tan
TRIM34	TRIM34	tan
TRIR	NA	tan
USP3	USP3	tan
USP34	USP34	tan
VASP	VASP	tan
ZC3H7A	ZC3H7A	tan
ZNF148	ZNF148	tan
