nodeName	altName	nodeAttr[nodesPresent, ]
A1BG	A1BG	turquoise
A1BG.AS1	NA	turquoise
AAGAB	NA	turquoise
AAMP	AAMP	turquoise
AAR2	NA	turquoise
AASDH	AASDH	turquoise
AATF	AATF	turquoise
ABCA1	ABCA1	turquoise
ABCA2	ABCA2	turquoise
ABCA3	ABCA3	turquoise
ABCA7	ABCA7	turquoise
ABCB1	ABCB1	turquoise
ABCC5	ABCC5	turquoise
ABCD1	ABCD1	turquoise
ABCD3	ABCD3	turquoise
ABCE1	ABCE1	turquoise
ABCF1	ABCF1	turquoise
ABCF2	ABCF2	turquoise
ABCG1	ABCG1	turquoise
ABHD12	ABHD12	turquoise
ABHD17A	NA	turquoise
ABHD2	ABHD2	turquoise
ABHD8	ABHD8	turquoise
ABI3	ABI3	turquoise
ABL2	ABL2	turquoise
ABLIM1	ABLIM1	turquoise
ABTB1	ABTB1	turquoise
ACAA1	ACAA1	turquoise
ACACB	ACACB	turquoise
ACAD10	ACAD10	turquoise
ACAD8	ACAD8	turquoise
ACADS	ACADS	turquoise
ACADSB	ACADSB	turquoise
ACAP1	ACAP1	turquoise
ACBD5	ACBD5	turquoise
ACCS	ACCS	turquoise
ACER3	ACER3	turquoise
ACIN1	ACIN1	turquoise
ACOT7	ACOT7	turquoise
ACOT8	ACOT8	turquoise
ACOT9	ACOT9	turquoise
ACP2	ACP2	turquoise
ACP6	ACP6	turquoise
ACPP	ACPP	turquoise
ACSF2	ACSF2	turquoise
ACSF3	ACSF3	turquoise
ACSL1	ACSL1	turquoise
ACSM1	ACSM1	turquoise
ACSM3	ACSM3	turquoise
ACSS2	ACSS2	turquoise
ACTB	ACTB	turquoise
ACTBL2	ACTBL2	turquoise
ACTL6A	ACTL6A	turquoise
ACTN1	ACTN1	turquoise
ACTN3	ACTN3	turquoise
ACTN4	ACTN4	turquoise
ACTR2	ACTR2	turquoise
ACTR3	ACTR3	turquoise
ACTR8	ACTR8	turquoise
ACVR1C	ACVR1C	turquoise
