nodeName	altName	nodeAttr[nodesPresent, ]
AATK	AATK	yellow
ABAT	ABAT	yellow
ABCC2	ABCC2	yellow
ABHD3	ABHD3	yellow
ABHD5	ABHD5	yellow
ABI1	ABI1	yellow
ACOX1	ACOX1	yellow
ACSL3	ACSL3	yellow
ACSL4	ACSL4	yellow
ADM	ADM	yellow
AFTPH	AFTPH	yellow
AICDA	AICDA	yellow
ALPK1	ALPK1	yellow
ANKRD22	ANKRD22	yellow
AOC3	AOC3	yellow
AP3S1	AP3S1	yellow
APTR	NA	yellow
ARAP3	ARAP3	yellow
ARHGEF40	NA	yellow
ARID4A	ARID4A	yellow
ARPP19	NA	yellow
ARSG	ARSG	yellow
ASPH	ASPH	yellow
ATG16L2	ATG16L2	yellow
ATP11B	ATP11B	yellow
ATP6V1A	ATP6V1A	yellow
AVIL	AVIL	yellow
B3GNT2	B3GNT2	yellow
B3GNT8	B3GNT8	yellow
BAZ2B	BAZ2B	yellow
BCL2L11	BCL2L11	yellow
BCL6	BCL6	yellow
BMX	BMX	yellow
BPTF	BPTF	yellow
BTBD10	BTBD10	yellow
C3orf62	C3orf62	yellow
C4orf3	C4orf3	yellow
CAB39	CAB39	yellow
CALM2	CALM2	yellow
CAMK2G	CAMK2G	yellow
CBS	CBS	yellow
CCDC126	CCDC126	yellow
CCDC153	CCDC153	yellow
CCDC17	CCDC17	yellow
CCNG2	CCNG2	yellow
CD302	CD302	yellow
CD46	CD46	yellow
CD55	CD55	yellow
CDC42EP3	CDC42EP3	yellow
CEP63	CEP63	yellow
CFLAR	CFLAR	yellow
CHMP1B	CHMP1B	yellow
CHRNA10	CHRNA10	yellow
CLEC4D	CLEC4D	yellow
CLEC4E	CLEC4E	yellow
CLIP1	CLIP1	yellow
CLK1	CLK1	yellow
CMTM2	CMTM2	yellow
CPD	CPD	yellow
CPEB4	CPEB4	yellow
CPPED1	NA	yellow
CR1	CR1	yellow
CREB5	CREB5	yellow
CREBRF	NA	yellow
CRISPLD2	CRISPLD2	yellow
CRLF3	CRLF3	yellow
CRYBB2	CRYBB2	yellow
CSGALNACT2	CSGALNACT2	yellow
CTBS	CTBS	yellow
CUX1	CUX1	yellow
CWC25	NA	yellow
CXCL1	CXCL1	yellow
CYB5R4	CYB5R4	yellow
CYSTM1	NA	yellow
DCP2	DCP2	yellow
DDB1	DDB1	yellow
DDX3X	DDX3X	yellow
DDX59	DDX59	yellow
DENND1A	DENND1A	yellow
DGCR2	DGCR2	yellow
DHRS7B	DHRS7B	yellow
DHRSX	DHRSX	yellow
DIP2B	DIP2B	yellow
DNAH17	DNAH17	yellow
DOCK4	DOCK4	yellow
DPY19L3	DPY19L3	yellow
DUSP1	DUSP1	yellow
DUSP13	DUSP13	yellow
DYNC1LI1	DYNC1LI1	yellow
EDEM3	EDEM3	yellow
EIF4EBP2	EIF4EBP2	yellow
ENTPD1	ENTPD1	yellow
ETS2	ETS2	yellow
EVI5	EVI5	yellow
EXOC6	EXOC6	yellow
EXOC8	EXOC8	yellow
F11R	F11R	yellow
F5	F5	yellow
FAM120AOS	FAM120AOS	yellow
FAM129A	FAM129A	yellow
FAM13A.AS1	NA	yellow
FAM45A	FAM45A	yellow
FAM45BP	NA	yellow
FAM91A1	FAM91A1	yellow
FAR1	FAR1	yellow
FAS	FAS	yellow
FBXL13	FBXL13	yellow
FBXL3	FBXL3	yellow
FBXO38	FBXO38	yellow
FCGR2A	FCGR2A	yellow
FGD4	FGD4	yellow
FKBP5	FKBP5	yellow
FKBP9	FKBP9	yellow
FLJ21408	FLJ21408	yellow
FLJ42393	FLJ42393	yellow
FNDC3B	FNDC3B	yellow
FRMD8	FRMD8	yellow
FRY	FRY	yellow
GAB1	GAB1	yellow
GAPVD1	GAPVD1	yellow
GBE1	GBE1	yellow
GIT2	GIT2	yellow
GLT1D1	GLT1D1	yellow
GMFG	GMFG	yellow
GNAI3	GNAI3	yellow
GNG10	GNG10	yellow
GPAT3	NA	yellow
GPCPD1	NA	yellow
GPER1	NA	yellow
GPR160	GPR160	yellow
GRAMD1C	GRAMD1C	yellow
GRB10	GRB10	yellow
GRK5	GRK5	yellow
HAL	HAL	yellow
HBP1	HBP1	yellow
HECW2	HECW2	yellow
HIP1	HIP1	yellow
HIPK1	HIPK1	yellow
HIPK3	HIPK3	yellow
HIST1H3D	HIST1H3D	yellow
HMGB2	HMGB2	yellow
HSD17B11	HSD17B11	yellow
HSDL2	HSDL2	yellow
IDI1	IDI1	yellow
IFRD1	IFRD1	yellow
IKBIP	NA	yellow
IL10RB.AS1	NA	yellow
IL1R1	IL1R1	yellow
ILVBL	ILVBL	yellow
INHBB	INHBB	yellow
INPP5A	INPP5A	yellow
IQGAP1	IQGAP1	yellow
IRAK3	IRAK3	yellow
IRF2	IRF2	yellow
ITGAM	ITGAM	yellow
JAK2	JAK2	yellow
KATNBL1	NA	yellow
KAZN	NA	yellow
KBTBD2	KBTBD2	yellow
KBTBD7	KBTBD7	yellow
KCNE1	KCNE1	yellow
KCNJ2.AS1	NA	yellow
KCNQ1	KCNQ1	yellow
KDM3A	NA	yellow
KIAA0319	KIAA0319	yellow
KIAA1257	KIAA1257	yellow
KIAA1551	NA	yellow
KIDINS220	KIDINS220	yellow
KIF13A	KIF13A	yellow
KIT	KIT	yellow
KLF5	KLF5	yellow
KMT5B	NA	yellow
LAMP2	LAMP2	yellow
LAMTOR3	NA	yellow
LBR	LBR	yellow
LIMK2	LIMK2	yellow
LINC00963	NA	yellow
LINC00999	NA	yellow
LINC01093	NA	yellow
LINC01127	NA	yellow
LINC01664	NA	yellow
LOC100422526	NA	yellow
LOC105372881	NA	yellow
LONRF1	LONRF1	yellow
LRMP	LRMP	yellow
LRRC6	LRRC6	yellow
LRRFIP2	LRRFIP2	yellow
LRRK2	LRRK2	yellow
LUNAR1	NA	yellow
MAK	MAK	yellow
MANSC1	MANSC1	yellow
MAP2K4	MAP2K4	yellow
MAPK1	MAPK1	yellow
MAPK14	MAPK14	yellow
MARCH7	NA	yellow
MARCKS	MARCKS	yellow
MBOAT1	MBOAT1	yellow
MCEMP1	NA	yellow
MCTP1	MCTP1	yellow
MFSD9	MFSD9	yellow
MGAM	MGAM	yellow
MKLN1	MKLN1	yellow
MMP9	MMP9	yellow
MSL1	MSL1	yellow
MTHFS	MTHFS	yellow
MTMR6	MTMR6	yellow
MXD1	MXD1	yellow
MYBPH	MYBPH	yellow
MYO5A	MYO5A	yellow
MYO5C	MYO5C	yellow
NABP1	NA	yellow
NAIF1	NAIF1	yellow
NCF2	NCF2	yellow
NDUFB3	NDUFB3	yellow
NFE4	NA	yellow
NFYC	NFYC	yellow
NHS	NHS	yellow
NOP14	NOP14	yellow
NPEPL1	NPEPL1	yellow
NUAK2	NUAK2	yellow
NUDT16	NUDT16	yellow
NUFIP2	NUFIP2	yellow
NUP58	NA	yellow
OAT	OAT	yellow
ORM2	ORM2	yellow
OSBPL1A	OSBPL1A	yellow
OSBPL2	OSBPL2	yellow
OSGIN2	OSGIN2	yellow
OTX1	OTX1	yellow
PAFAH1B2	PAFAH1B2	yellow
PDE6H	PDE6H	yellow
PDPK1	PDPK1	yellow
PELI1	PELI1	yellow
PFKFB3	PFKFB3	yellow
PGM2	PGM2	yellow
PHF20L1	PHF20L1	yellow
PHTF1	PHTF1	yellow
PJA2	PJA2	yellow
PKN2	PKN2	yellow
PLB1	PLB1	yellow
PLBD1	NA	yellow
PLK2	PLK2	yellow
PNRC1	PNRC1	yellow
PPP1CB	PPP1CB	yellow
PPP1R3B	PPP1R3B	yellow
PPP2R5E	PPP2R5E	yellow
PPP3CA	PPP3CA	yellow
PPP4R2	PPP4R2	yellow
PPTC7	PPTC7	yellow
PRDM10	PRDM10	yellow
PRICKLE4	PRICKLE4	yellow
PRKDC	PRKDC	yellow
PTBP3	NA	yellow
PTGS2	PTGS2	yellow
PTP4A1	PTP4A1	yellow
PTPRC	PTPRC	yellow
PTPRN2	PTPRN2	yellow
PXYLP1	NA	yellow
PYCR3	NA	yellow
PYGL	PYGL	yellow
QPCT	QPCT	yellow
RAB10	RAB10	yellow
RAB18	RAB18	yellow
RAB3D	RAB3D	yellow
RAB8B	RAB8B	yellow
RAP1A	RAP1A	yellow
RAPGEF2	RAPGEF2	yellow
RBMS1	RBMS1	yellow
RBP7	RBP7	yellow
RBPJ	RBPJ	yellow
REPS2	REPS2	yellow
RFFL	RFFL	yellow
RFWD2	RFWD2	yellow
RFX2	RFX2	yellow
RGS2	RGS2	yellow
RIT1	RIT1	yellow
RNF112	RNF112	yellow
RNF130	RNF130	yellow
ROPN1L	ROPN1L	yellow
RPGR	RPGR	yellow
RPGRIP1	RPGRIP1	yellow
RPS6KA5	RPS6KA5	yellow
RRAGD	RRAGD	yellow
RSRP1	NA	yellow
RTCA	NA	yellow
RUNDC1	RUNDC1	yellow
S100A12	S100A12	yellow
S100A8	S100A8	yellow
SEC24D	SEC24D	yellow
SEL1L	SEL1L	yellow
SENP2	SENP2	yellow
SGMS1	SGMS1	yellow
SLC22A15	SLC22A15	yellow
SLC26A8	SLC26A8	yellow
SLC37A3	SLC37A3	yellow
SLC40A1	SLC40A1	yellow
SLU7	SLU7	yellow
SNN	SNN	yellow
SNTB2	SNTB2	yellow
SNX10	SNX10	yellow
SP1	SP1	yellow
SPAG9	SPAG9	yellow
SRGN	SRGN	yellow
SRPK1	SRPK1	yellow
ST3GAL6	ST3GAL6	yellow
STAG1	STAG1	yellow
STK17B	STK17B	yellow
STK38L	STK38L	yellow
STPG4	NA	yellow
SVIL	SVIL	yellow
TAF12	TAF12	yellow
TAS2R10	TAS2R10	yellow
TBC1D1	TBC1D1	yellow
TECPR2	NA	yellow
TESMIN	NA	yellow
TLR2	TLR2	yellow
TLR4	TLR4	yellow
TLR8	TLR8	yellow
TM9SF2	TM9SF2	yellow
TMCC1	TMCC1	yellow
TMEM184B	TMEM184B	yellow
TMEM30A	TMEM30A	yellow
TMEM59	TMEM59	yellow
TNFSF10	TNFSF10	yellow
TNNI2	TNNI2	yellow
TNRC18	TNRC18	yellow
TOPORS	TOPORS	yellow
TP53INP1	TP53INP1	yellow
TPM4	TPM4	yellow
TREM1	TREM1	yellow
TRIB1	TRIB1	yellow
TRIQK	NA	yellow
TSEN34	TSEN34	yellow
TXN	TXN	yellow
UBE2W	UBE2W	yellow
UBR2	UBR2	yellow
UBR5.AS1	NA	yellow
UBXN2B	UBXN2B	yellow
UBXN4	UBXN4	yellow
UGGT1	NA	yellow
UHRF1BP1L	UHRF1BP1L	yellow
ULK1	ULK1	yellow
USB1	NA	yellow
USP4	USP4	yellow
UVSSA	NA	yellow
VASN	VASN	yellow
VAV3	VAV3	yellow
VDR	VDR	yellow
VIM.AS1	NA	yellow
VPS4B	VPS4B	yellow
VTI1A	VTI1A	yellow
WAC	WAC	yellow
WASHC4	NA	yellow
WDFY3	WDFY3	yellow
WDFY3.AS2	NA	yellow
WIPI1	WIPI1	yellow
XRCC4	XRCC4	yellow
YIPF4	YIPF4	yellow
ZBTB34	ZBTB34	yellow
ZMPSTE24	ZMPSTE24	yellow
ZNF143	ZNF143	yellow
ZNF200	ZNF200	yellow
ZNF552	ZNF552	yellow
ZNF710	ZNF710	yellow
